# mid-IR sky background 5.0 - 30.0 mic
# 2.0mm H2O, sec z = 1.0              
#                                     
# 05Sept2001 - R. S. Fisher           
#                                     
#Wavelength    Flux density           
#(nm)          (ph/sec/nm/arcsec2/m2) 

5000      136016.7
5001      146278.6
5002      429706.2
5003      579344.0
5004      208394.7
5005      93537.1
5006      69562.4
5007      61719.9
5008      62074.2
5009      64543.1
5010      66908.2
5011      73651.0
5012      82368.6
5013      95238.7
5014      119266.1
5015      170209.1
5016      342809.2
5017      648900.1
5018      692399.9
5019      737621.2
5020      739063.7
5021      711028.3
5022      499836.4
5023      295101.4
5024      202640.9
5025      173933.4
5026      173161.2
5027      234318.6
5028      465796.7
5029      720616.6
5030      587074.2
5031      297383.5
5032      247535.8
5033      119617.1
5034      86770.8
5035      91083.1
5036      67156.7
5037      55771.2
5038      57970.4
5039      99259.3
5040      57752.1
5041      46191.2
5042      52150.5
5043      73170.2
5044      50314.9
5045      53250.4
5046      50157.7
5047      58576.0
5048      101177.5
5049      115917.4
5050      43321.3
5051      40374.6
5052      40404.0
5053      42377.5
5054      41337.0
5055      42744.6
5056      61307.4
5057      69013.4
5058      55054.1
5059      105594.2
5060      434843.4
5061      213588.5
5062      68685.5
5063      53234.0
5064      47250.5
5065      45997.2
5066      45784.0
5067      48688.0
5068      48703.0
5069      50071.2
5070      51653.4
5071      55807.8
5072      58284.9
5073      61170.2
5074      67264.2
5075      82057.3
5076      97370.9
5077      114621.1
5078      146561.4
5079      189440.4
5080      298305.2
5081      521268.4
5082      757242.5
5083      794275.8
5084      706953.0
5085      711842.9
5086      769181.1
5087      490382.5
5088      255590.8
5089      161796.9
5090      119978.7
5091      101109.9
5092      92624.4
5093      86622.2
5094      78741.7
5095      81539.9
5096      99457.9
5097      170965.8
5098      383825.4
5099      718911.5
5100      367746.7
5101      151136.8
5102      96180.4
5103      124595.6
5104      73446.6
5105      75949.7
5106      68423.2
5107      86058.9
5108      269637.8
5109      161094.7
5110      193078.9
5111      247965.6
5112      526480.8
5113      277565.1
5114      445353.7
5115      773184.0
5116      513969.2
5117      208391.5
5118      126395.7
5119      89482.2
5120      77077.5
5121      71998.3
5122      78644.3
5123      72388.4
5124      81653.8
5125      223366.9
5126      131253.5
5127      95910.6
5128      135961.5
5129      123028.2
5130      333549.7
5131      176312.2
5132      121922.1
5133      138133.7
5134      172730.3
5135      243311.8
5136      407458.5
5137      728538.5
5138      837936.4
5139      741591.6
5140      821407.2
5141      805057.6
5142      559179.2
5143      446190.0
5144      491338.3
5145      630075.5
5146      804126.8
5147      861351.7
5148      863956.8
5149      860311.7
5150      852819.5
5151      697961.0
5152      444910.8
5153      321497.5
5154      304865.6
5155      201276.4
5156      185940.4
5157      236828.4
5158      170836.2
5159      127507.9
5160      177675.8
5161      123676.4
5162      221595.1
5163      143009.4
5164      105380.7
5165      93179.8
5166      92899.1
5167      117677.7
5168      116873.5
5169      133341.2
5170      166289.7
5171      256709.4
5172      535267.9
5173      811849.0
5174      627783.9
5175      423831.0
5176      274058.9
5177      107610.4
5178      93039.9
5179      100177.3
5180      91482.6
5181      87347.7
5182      91588.9
5183      116969.0
5184      98299.1
5185      99192.9
5186      111180.6
5187      213042.1
5188      145150.9
5189      136818.1
5190      213037.8
5191      218800.4
5192      211694.1
5193      215391.5
5194      292732.6
5195      408180.4
5196      471767.9
5197      595366.9
5198      806323.1
5199      910165.5
5200      917663.3
5201      918396.8
5202      918880.2
5203      871316.2
5204      708065.3
5205      530937.3
5206      492492.0
5207      461652.7
5208      569959.0
5209      661149.2
5210      736925.8
5211      841546.2
5212      920745.8
5213      931325.5
5214      932490.7
5215      931091.6
5216      895524.4
5217      760689.6
5218      596031.6
5219      472885.7
5220      453797.1
5221      425925.1
5222      319977.6
5223      419595.1
5224      344806.8
5225      418620.5
5226      227178.8
5227      215245.4
5228      299113.1
5229      384064.1
5230      305064.9
5231      348651.6
5232      426735.5
5233      637546.8
5234      819438.2
5235      946601.9
5236      955077.9
5237      907504.0
5238      731068.6
5239      667593.6
5240      833578.4
5241      955589.9
5242      909583.5
5243      622854.6
5244      398910.3
5245      364098.8
5246      270540.7
5247      230810.6
5248      234745.1
5249      373741.0
5250      684982.2
5251      931174.6
5252      687974.5
5253      365440.4
5254      227775.4
5255      188474.3
5256      279554.5
5257      227397.3
5258      525197.6
5259      302988.7
5260      138006.0
5261      148993.3
5262      150006.4
5263      125169.7
5264      127844.2
5265      152484.2
5266      168648.0
5267      168944.5
5268      172275.2
5269      265091.3
5270      435442.1
5271      306419.4
5272      318817.9
5273      432018.5
5274      637589.7
5275      898240.4
5276      996002.0
5277      999178.2
5278      929886.1
5279      672501.5
5280      595673.2
5281      585352.2
5282      375358.7
5283      403575.4
5284      524230.6
5285      402459.8
5286      463206.2
5287      554808.8
5288      678811.3
5289      843871.1
5290      977110.1
5291      1014628.4
5292      1017000.0
5293      1017888.0
5294      1010236.6
5295      920733.6
5296      753479.7
5297      600613.5
5298      489041.9
5299      410071.8
5300      359982.4
5301      335531.2
5302      362956.0
5303      518214.7
5304      779102.3
5305      868789.2
5306      1016565.0
5307      941498.4
5308      584878.5
5309      357275.0
5310      262029.2
5311      219038.8
5312      193118.9
5313      177448.9
5314      167355.6
5315      161060.1
5316      170735.8
5317      164744.3
5318      183280.1
5319      325878.8
5320      640118.4
5321      599382.0
5322      328857.9
5323      174179.6
5324      169132.9
5325      198889.8
5326      202401.8
5327      206384.6
5328      425051.5
5329      628855.4
5330      260230.0
5331      222672.1
5332      229158.4
5333      241577.4
5334      255849.4
5335      276356.9
5336      300926.0
5337      331881.0
5338      367661.2
5339      412452.9
5340      469922.7
5341      540695.4
5342      631632.2
5343      753919.0
5344      919108.4
5345      1060306.5
5346      1072006.3
5347      1075406.9
5348      1079902.8
5349      1081000.0
5350      1083000.0
5351      1084000.0
5352      1085000.0
5353      1086000.0
5354      1087000.0
5355      1087303.7
5356      1085378.4
5357      1089658.1
5358      1091923.6
5359      1081479.8
5360      976756.0
5361      802722.6
5362      661183.9
5363      586441.8
5364      691304.0
5365      564751.0
5366      390227.4
5367      365302.0
5368      411882.3
5369      341135.6
5370      352028.7
5371      498482.1
5372      836052.5
5373      550097.3
5374      618958.2
5375      327650.8
5376      497021.3
5377      926146.2
5378      532624.4
5379      552408.8
5380      961413.1
5381      1068063.1
5382      663051.2
5383      400645.4
5384      302401.4
5385      274955.3
5386      323745.7
5387      726123.6
5388      417497.2
5389      255807.8
5390      240781.8
5391      239571.3
5392      259655.0
5393      463929.5
5394      414125.5
5395      288517.0
5396      308265.0
5397      401702.1
5398      846330.6
5399      736303.2
5400      407200.1
5401      365679.8
5402      375109.7
5403      397459.9
5404      429073.9
5405      473183.4
5406      539502.6
5407      626848.4
5408      751881.5
5409      988018.4
