# mid-IR sky background 5.0 - 30.0 microns                    
# 2.0mm H2O, sec z = 1.5                                      
#                                                             
# 05Sept2001 - R. S. Fisher                                   
#                                                             
#Wavelength    Flux density                                   
#(nm)          (ph/sec/nm/arcsec2/m2)                         
                                                              
5000     193430.6
5001     206147.9
5002     501335.5
5003     627536.0
5004     279806.7
5005     135876.6
5006     102230.9
5007     91036.3
5008     91546.0
5009     95078.1
5010     98473.3
5011     108087.3
5012     120440.0
5013     138518.7
5014     171733.3
5015     239547.7
5016     431409.1
5017     692099.3
5018     720679.3
5019     738314.3
5020     739462.5
5021     728738.3
5022     591566.3
5023     393009.3
5024     282206.4
5025     245376.6
5026     244336.9
5027     320624.8
5028     554991.5
5029     735519.9
5030     650257.9
5031     393784.4
5032     334331.8
5033     171835.3
5034     126766.2
5035     132208.4
5036     98713.2
5037     82620.4
5038     85679.7
5039     143389.5
5040     85252.0
5041     68739.5
5042     77209.4
5043     107014.1
5044     74664.6
5045     78870.9
5046     74406.9
5047     86416.3
5048     139677.3
5049     157574.5
5050     64440.0
5051     60242.1
5052     60287.4
5053     63171.0
5054     61663.7
5055     63722.2
5056     90111.9
5057     101091.8
5058     81572.4
5059     149214.4
5060     505654.1
5061     274862.3
5062     101053.9
5063     78948.5
5064     70295.5
5065     68479.0
5066     68190.6
5067     72423.0
5068     72439.2
5069     74397.2
5070     76704.3
5071     82716.6
5072     86304.3
5073     90487.0
5074     99248.8
5075     120271.7
5076     141937.2
5077     166010.5
5078     209685.2
5079     266428.9
5080     400030.2
5081     623285.3
5082     781502.9
5083     798030.8
5084     762816.5
5085     764405.5
5086     787262.1
5087     589185.2
5088     349421.7
5089     230093.1
5090     173530.5
5091     147308.3
5092     135338.2
5093     126821.6
5094     115729.3
5095     119701.3
5096     144816.1
5097     241864.2
5098     474988.5
5099     758156.5
5100     461823.4
5101     215125.1
5102     140245.3
5103     178688.9
5104     107991.5
5105     111586.6
5106     100968.8
5107     124858.6
5108     350005.1
5109     223994.2
5110     267873.2
5111     325626.1
5112     606301.4
5113     375095.0
5114     547041.5
5115     800542.5
5116     604714.4
5117     289557.1
5118     182387.1
5119     131015.2
5120     113417.2
5121     106192.4
5122     115624.8
5123     106733.9
5124     119464.1
5125     298457.9
5126     184626.9
5127     139979.8
5128     194876.5
5129     176472.0
5130     426940.4
5131     243519.4
5132     176668.0
5133     199009.6
5134     245736.7
5135     336910.8
5136     522953.2
5137     786147.9
5138     848698.9
5139     809650.8
5140     844003.6
5141     834296.4
5142     673364.0
5143     572815.9
5144     617777.1
5145     736295.1
5146     841606.5
5147     862699.0
5148     863996.8
5149     864413.7
5150     862740.9
5151     775632.1
5152     568768.3
5153     433833.9
5154     409659.6
5155     283684.2
5156     263415.2
5157     325894.2
5158     242978.6
5159     184238.4
5160     247043.7
5161     178065.5
5162     307396.2
5163     204037.2
5164     153619.4
5165     136514.3
5166     136159.6
5167     170224.1
5168     169555.4
5169     192448.8
5170     236944.6
5171     352614.4
5172     638442.3
5173     853022.8
5174     741486.8
5175     540641.3
5176     359780.4
5177     156670.1
5178     136524.1
5179     146613.8
5180     134329.9
5181     128455.4
5182     134449.4
5183     169703.1
5184     143960.9
5185     145322.1
5186     161866.2
5187     294470.8
5188     208039.0
5189     197824.4
5190     298072.4
5191     305474.0
5192     297428.4
5193     303663.0
5194     399513.1
5195     534568.8
5196     604406.3
5197     721097.0
5198     870046.6
5199     915134.4
5200     917698.9
5201     918700.0
5202     919624.4
5203     904341.9
5204     810511.4
5205     666221.4
5206     628299.7
5207     596692.3
5208     699298.1
5209     778428.9
5210     839861.3
5211     898713.5
5212     928498.7
5213     931393.7
5214     932499.7
5215     933190.4
5216     924096.9
5217     855018.2
5218     728710.4
5219     609807.3
5220     584628.3
5221     551401.7
5222     432847.8
5223     531106.2
5224     455487.1
5225     536257.4
5226     319283.8
5227     304400.1
5228     400787.1
5229     495917.4
5230     417560.7
5231     471534.7
5232     558102.9
5233     764492.2
5234     894007.4
5235     952792.4
5236     955757.9
5237     939950.7
5238     843209.4
5239     797319.7
5240     904143.9
5241     959723.0
5242     939831.8
5243     748510.4
5244     529780.5
5245     486258.8
5246     375243.0
5247     325250.5
5248     330265.1
5249     494747.5
5250     795905.4
5251     954938.6
5252     787566.0
5253     489041.1
5254     319494.2
5255     268487.7
5256     382994.4
5257     317120.2
5258     623698.6
5259     389413.9
5260     200261.5
5261     214658.7
5262     215928.3
5263     182531.0
5264     186288.4
5265     220070.7
5266     242077.7
5267     242929.0
5268     247416.2
5269     366939.9
5270     548961.8
5271     415496.9
5272     437603.0
5273     569764.2
5274     774207.1
5275     956167.1
5276     998665.4
5277     1000703.7
