# sky background 0.3-1.0um
# BRIGHT optical sky - 100%ile conditions (day 14)
# AM=1.5
#
#derived from sky spectrum with constant slope to match assumed photometric background
#increasingly poor model at very bright sky (day14);  patched to near-IR background at 920nm
#
#1 March 2001 : Phil Puxley

#nm         phot/s/nm/arcsec^2/m^2
320.00                    0.0000
349.99                    0.0000
350.17                   21.5069
350.43                   21.4983
350.70                   21.4898
350.96                   21.4812
351.23                   21.4726
351.49                   21.4641
351.76                   21.4555
352.02                   21.4469
352.29                   21.4384
352.55                   21.4298
352.82                   21.4213
353.08                   21.4127
353.35                   21.4041
353.62                   21.3956
353.88                   21.3870
354.15                   21.3784
354.41                   21.3699
354.68                   21.3613
354.94                   21.3527
355.21                   21.3442
355.47                   21.3356
355.74                   21.3271
356.00                   21.3185
356.27                   21.3099
356.53                   21.3014
356.80                   21.2928
357.07                   21.2842
357.33                   21.2757
357.60                   21.2671
357.86                   21.2586
358.13                   21.2500
358.39                   21.2414
358.66                   21.2329
358.92                   21.2243
359.19                   21.2157
359.45                   21.2072
359.72                   21.1986
359.98                   21.1900
360.25                   21.1815
360.51                   21.1729
360.78                   21.1644
361.05                   21.1558
361.31                   21.1472
361.58                   21.1387
361.84                   21.1301
362.11                   21.1215
362.37                   21.1130
362.64                   21.1044
362.90                   21.0959
363.17                   21.0873
363.43                   21.0787
363.70                   21.0702
363.96                   21.0616
364.23                   21.0530
364.49                   21.0445
364.76                   21.0359
365.03                   21.0273
365.29                   21.0188
365.56                   21.0102
365.82                   21.0017
366.09                   20.9931
366.35                   20.9845
366.62                   20.9760
366.88                   20.9674
367.15                   20.9588
367.41                   20.9503
367.68                   20.9417
367.94                   20.9332
368.21                   20.9246
368.47                   20.9160
368.74                   20.9075
369.01                   20.8989
369.27                   20.8903
369.54                   20.8818
369.80                   20.8732
370.07                   20.8646
370.33                   20.8561
370.60                   20.8475
370.86                   20.8390
371.13                   20.8304
371.39                   20.8218
371.66                   20.8133
371.92                   20.8047
372.19                   20.7961
372.45                   20.7876
372.72                   20.7790
372.99                   20.7705
373.25                   20.7619
373.52                   20.7533
373.78                   20.7448
374.05                   20.7362
374.31                   20.7276
374.58                   20.7191
374.84                   20.7105
375.11                   20.7019
375.37                   20.6934
375.64                   20.6848
375.90                   20.6763
376.17                   20.6677
376.43                   20.6591
376.70                   20.6506
376.97                   20.6420
377.23                   20.6334
377.50                   20.6249
377.76                   20.6163
378.03                   20.6078
378.29                   20.5992
378.56                   20.5906
378.82                   20.5821
379.09                   20.5735
379.35                   20.5649
379.62                   20.5564
379.88                   20.5478
380.15                   20.5392
380.41                   20.5307
380.68                   20.5221
380.95                   20.5136
381.21                   20.5050
381.48                   20.4964
381.74                   20.4879
382.01                   20.4793
382.27                   20.4707
382.54                   20.4622
382.80                   20.4536
383.07                   20.4451
383.33                   20.4365
383.60                   20.4279
383.86                   20.4194
384.13                   20.4108
384.40                   20.4022
384.66                   20.3937
384.93                   20.3851
385.19                   20.3765
385.46                   20.3680
385.72                   20.3594
385.99                   20.3509
386.25                   20.3423
386.52                   20.3338
386.78                   20.3252
387.05                   20.3167
387.31                   20.3081
387.58                   20.2996
387.84                   20.2910
388.11                   20.2825
388.38                   20.2739
388.64                   20.2654
388.91                   20.2568
389.17                   20.2483
389.44                   20.2398
389.70                   20.2312
389.97                   20.2227
390.23                   20.2142
390.50                   20.2057
390.76                   20.1971
391.03                   20.1886
391.29                   20.1801
391.56                   20.1716
391.82                   20.1631
392.09                   20.1545
392.36                   20.1460
