# sky background 0.3-1.0um
# DARKEST optical sky - 20%ile conditions (day 3)
#AM=1.0
#
#derived from sky spectrum with constant slope to match assumed photometric background
#increasingly poor model at very bright sky (day14);  patched to near-IR background at 920nm
#
#1 March 2001 : Phil Puxley

#nm         phot/s/nm/arcsec^2/m^2
320.00                    0.0000
349.99                    0.0000
350.17                    0.3103
350.43                    0.3101
350.70                    0.3099
350.96                    0.3097
351.23                    0.3095
351.49                    0.3093
351.76                    0.3091
352.02                    0.3088
352.29                    0.3086
352.55                    0.3084
352.82                    0.3082
353.08                    0.3080
353.35                    0.3078
353.62                    0.3076
353.88                    0.3074
354.15                    0.3071
354.41                    0.3069
354.68                    0.3067
354.94                    0.3065
355.21                    0.3063
355.47                    0.3061
355.74                    0.3059
356.00                    0.3056
356.27                    0.3054
356.53                    0.3052
356.80                    0.3050
357.07                    0.3048
357.33                    0.3046
357.60                    0.3044
357.86                    0.3042
358.13                    0.3039
358.39                    0.3037
358.66                    0.3035
358.92                    0.3033
359.19                    0.3031
359.45                    0.3029
359.72                    0.3027
359.98                    0.3024
360.25                    0.3022
360.51                    0.3020
360.78                    0.3018
361.05                    0.3016
361.31                    0.3014
361.58                    0.3012
361.84                    0.3010
362.11                    0.3007
362.37                    0.3005
362.64                    0.3003
362.90                    0.3001
363.17                    0.2999
363.43                    0.2997
363.70                    0.2995
363.96                    0.2993
364.23                    0.2990
364.49                    0.2988
364.76                    0.2986
365.03                    0.2984
365.29                    0.2982
365.56                    0.2980
365.82                    0.2978
366.09                    0.2975
366.35                    0.2973
366.62                    0.2971
366.88                    0.2969
367.15                    0.2967
367.41                    0.2965
367.68                    0.2963
367.94                    0.2961
368.21                    0.2958
368.47                    0.2956
368.74                    0.2954
369.01                    0.2952
369.27                    0.2950
369.54                    0.2948
369.80                    0.2946
370.07                    0.2943
370.33                    0.2941
370.60                    0.2939
370.86                    0.2937
371.13                    0.2935
371.39                    0.2933
371.66                    0.2931
371.92                    0.2929
372.19                    0.2926
372.45                    0.2924
372.72                    0.2922
372.99                    0.2920
373.25                    0.2918
373.52                    0.2916
373.78                    0.2914
374.05                    0.2912
374.31                    0.2909
374.58                    0.2907
374.84                    0.2905
375.11                    0.2903
375.37                    0.2901
375.64                    0.2899
375.90                    0.2897
376.17                    0.2894
376.43                    0.2892
376.70                    0.2890
376.97                    0.2888
377.23                    0.2886
377.50                    0.2884
377.76                    0.2882
378.03                    0.2880
378.29                    0.2877
378.56                    0.2875
378.82                    0.2873
379.09                    0.2871
379.35                    0.2869
379.62                    0.2867
379.88                    0.2865
380.15                    0.2862
380.41                    0.2860
380.68                    0.2858
380.95                    0.2856
381.21                    0.2854
381.48                    0.2852
381.74                    0.2850
382.01                    0.2848
382.27                    0.2845
382.54                    0.2843
382.80                    0.2841
383.07                    0.2839
383.33                    0.2837
383.60                    0.2835
383.86                    0.2833
384.13                    0.2831
384.40                    0.2828
384.66                    0.2826
384.93                    0.2824
385.19                    0.2822
385.46                    0.2820
385.72                    0.2818
385.99                    0.2816
386.25                    0.2814
386.52                    0.2812
386.78                    0.2810
387.05                    0.2808
387.31                    0.2806
387.58                    0.2804
387.84                    0.2802
388.11                    0.2800
388.38                    0.2798
388.64                    0.2796
388.91                    0.2794
389.17                    0.2792
389.44                    0.2790
389.70                    0.2788
389.97                    0.2786
390.23                    0.2785
390.50                    0.2783
390.76                    0.2781
391.03                    0.2780
391.29                    0.2778
391.56                    0.2776
391.82                    0.2775
392.09                    0.2773
392.36                    0.2771
