# sky background 0.3-1.0um
# DARKEST optical sky - 20%ile conditions (day 3)
# AM=1.5
#
#derived from sky spectrum with constant slope to match assumed photometric background
#increasingly poor model at very bright sky (day14);  patched to near-IR background at 920nm
#
#1 March 2001 : Phil Puxley

#nm         phot/s/nm/arcsec^2/m^2
320.00                    0.0000
349.99                    0.0000
350.17                    0.3353
350.43                    0.3352
350.70                    0.3350
350.96                    0.3349
351.23                    0.3348
351.49                    0.3346
351.76                    0.3345
352.02                    0.3344
352.29                    0.3342
352.55                    0.3341
352.82                    0.3340
353.08                    0.3338
353.35                    0.3337
353.62                    0.3336
353.88                    0.3334
354.15                    0.3333
354.41                    0.3332
354.68                    0.3330
354.94                    0.3329
355.21                    0.3328
355.47                    0.3326
355.74                    0.3325
356.00                    0.3324
356.27                    0.3322
356.53                    0.3321
356.80                    0.3320
357.07                    0.3318
357.33                    0.3317
357.60                    0.3316
357.86                    0.3314
358.13                    0.3313
358.39                    0.3312
358.66                    0.3310
358.92                    0.3309
359.19                    0.3308
359.45                    0.3306
359.72                    0.3305
359.98                    0.3304
360.25                    0.3302
360.51                    0.3301
360.78                    0.3300
361.05                    0.3298
361.31                    0.3297
361.58                    0.3296
361.84                    0.3294
362.11                    0.3293
362.37                    0.3292
362.64                    0.3291
362.90                    0.3289
363.17                    0.3288
363.43                    0.3287
363.70                    0.3285
363.96                    0.3284
364.23                    0.3283
364.49                    0.3281
364.76                    0.3280
365.03                    0.3279
365.29                    0.3277
365.56                    0.3276
365.82                    0.3275
366.09                    0.3273
366.35                    0.3272
366.62                    0.3271
366.88                    0.3269
367.15                    0.3268
367.41                    0.3267
367.68                    0.3265
367.94                    0.3264
368.21                    0.3263
368.47                    0.3261
368.74                    0.3260
369.01                    0.3259
369.27                    0.3257
369.54                    0.3256
369.80                    0.3255
370.07                    0.3253
370.33                    0.3252
370.60                    0.3251
370.86                    0.3249
371.13                    0.3248
371.39                    0.3247
371.66                    0.3245
371.92                    0.3244
372.19                    0.3243
372.45                    0.3241
372.72                    0.3240
372.99                    0.3239
373.25                    0.3237
373.52                    0.3236
373.78                    0.3235
374.05                    0.3233
374.31                    0.3232
374.58                    0.3231
374.84                    0.3229
375.11                    0.3228
375.37                    0.3227
375.64                    0.3225
375.90                    0.3224
376.17                    0.3223
376.43                    0.3221
376.70                    0.3220
376.97                    0.3219
377.23                    0.3217
377.50                    0.3216
377.76                    0.3215
378.03                    0.3213
378.29                    0.3212
378.56                    0.3211
378.82                    0.3209
379.09                    0.3208
379.35                    0.3207
379.62                    0.3205
379.88                    0.3204
380.15                    0.3203
380.41                    0.3201
380.68                    0.3200
380.95                    0.3199
381.21                    0.3198
381.48                    0.3196
381.74                    0.3195
382.01                    0.3194
382.27                    0.3192
382.54                    0.3191
382.80                    0.3190
383.07                    0.3188
383.33                    0.3187
383.60                    0.3186
383.86                    0.3184
384.13                    0.3183
384.40                    0.3182
384.66                    0.3180
384.93                    0.3179
385.19                    0.3178
385.46                    0.3176
385.72                    0.3175
385.99                    0.3174
386.25                    0.3173
386.52                    0.3171
386.78                    0.3170
387.05                    0.3169
387.31                    0.3168
387.58                    0.3167
387.84                    0.3165
388.11                    0.3164
388.38                    0.3163
388.64                    0.3162
388.91                    0.3161
389.17                    0.3160
389.44                    0.3159
389.70                    0.3158
389.97                    0.3157
390.23                    0.3156
390.50                    0.3155
390.76                    0.3154
391.03                    0.3153
391.29                    0.3152
391.56                    0.3151
391.82                    0.3150
392.09                    0.3149
392.36                    0.3149
