# sky background 0.3-1.0um
# DARK optical sky - 50%ile conditions (day 7)
#AM=1.0
#
#derived from sky spectrum with constant slope to match assumed photometric background
#increasingly poor model at very bright sky (day14);  patched to near-IR background at 920nm
#
#1 March 2001 : Phil Puxley

#nm         phot/s/nm/arcsec^2/m^2
320.00                    0.0000
349.99                    0.0000
350.17                    0.6506
350.43                    0.6504
350.70                    0.6501
350.96                    0.6499
351.23                    0.6496
351.49                    0.6494
351.76                    0.6492
352.02                    0.6489
352.29                    0.6487
352.55                    0.6485
352.82                    0.6482
353.08                    0.6480
353.35                    0.6478
353.62                    0.6475
353.88                    0.6473
354.15                    0.6471
354.41                    0.6468
354.68                    0.6466
354.94                    0.6464
355.21                    0.6461
355.47                    0.6459
355.74                    0.6457
356.00                    0.6454
356.27                    0.6452
356.53                    0.6449
356.80                    0.6447
357.07                    0.6445
357.33                    0.6442
357.60                    0.6440
357.86                    0.6438
358.13                    0.6435
358.39                    0.6433
358.66                    0.6431
358.92                    0.6428
359.19                    0.6426
359.45                    0.6424
359.72                    0.6421
359.98                    0.6419
360.25                    0.6417
360.51                    0.6414
360.78                    0.6412
361.05                    0.6410
361.31                    0.6407
361.58                    0.6405
361.84                    0.6402
362.11                    0.6400
362.37                    0.6398
362.64                    0.6395
362.90                    0.6393
363.17                    0.6391
363.43                    0.6388
363.70                    0.6386
363.96                    0.6384
364.23                    0.6381
364.49                    0.6379
364.76                    0.6377
365.03                    0.6374
365.29                    0.6372
365.56                    0.6370
365.82                    0.6367
366.09                    0.6365
366.35                    0.6363
366.62                    0.6360
366.88                    0.6358
367.15                    0.6356
367.41                    0.6353
367.68                    0.6351
367.94                    0.6348
368.21                    0.6346
368.47                    0.6344
368.74                    0.6341
369.01                    0.6339
369.27                    0.6337
369.54                    0.6334
369.80                    0.6332
370.07                    0.6330
370.33                    0.6327
370.60                    0.6325
370.86                    0.6323
371.13                    0.6320
371.39                    0.6318
371.66                    0.6316
371.92                    0.6313
372.19                    0.6311
372.45                    0.6309
372.72                    0.6306
372.99                    0.6304
373.25                    0.6301
373.52                    0.6299
373.78                    0.6297
374.05                    0.6294
374.31                    0.6292
374.58                    0.6290
374.84                    0.6287
375.11                    0.6285
375.37                    0.6283
375.64                    0.6280
375.90                    0.6278
376.17                    0.6276
376.43                    0.6273
376.70                    0.6271
376.97                    0.6269
377.23                    0.6266
377.50                    0.6264
377.76                    0.6262
378.03                    0.6259
378.29                    0.6257
378.56                    0.6254
378.82                    0.6252
379.09                    0.6250
379.35                    0.6247
379.62                    0.6245
379.88                    0.6243
380.15                    0.6240
380.41                    0.6238
380.68                    0.6236
380.95                    0.6233
381.21                    0.6231
381.48                    0.6229
381.74                    0.6226
382.01                    0.6224
382.27                    0.6222
382.54                    0.6219
382.80                    0.6217
383.07                    0.6215
383.33                    0.6212
383.60                    0.6210
383.86                    0.6207
384.13                    0.6205
384.40                    0.6203
384.66                    0.6200
384.93                    0.6198
385.19                    0.6196
385.46                    0.6194
385.72                    0.6191
385.99                    0.6189
386.25                    0.6187
386.52                    0.6184
386.78                    0.6182
387.05                    0.6180
387.31                    0.6178
387.58                    0.6176
387.84                    0.6173
388.11                    0.6171
388.38                    0.6169
388.64                    0.6167
388.91                    0.6165
389.17                    0.6163
389.44                    0.6160
389.70                    0.6158
389.97                    0.6156
390.23                    0.6154
390.50                    0.6152
390.76                    0.6151
391.03                    0.6149
391.29                    0.6147
391.56                    0.6145
391.82                    0.6143
392.09                    0.6141
392.36                    0.6139
