# sky background 0.3-1.0um
# DARK optical sky - 50%ile conditions (day 7)
# AM=2.0
#
#derived from sky spectrum with constant slope to match assumed photometric background
#increasingly poor model at very bright sky (day14);  patched to near-IR background at 920nm
#
#1 March 2001 : Phil Puxley

#nm         phot/s/nm/arcsec^2/m^2
320.00                    0.0000
349.99                    0.0000
350.17                    0.8370
350.43                    0.8369
350.70                    0.8368
350.96                    0.8367
351.23                    0.8366
351.49                    0.8365
351.76                    0.8364
352.02                    0.8363
352.29                    0.8362
352.55                    0.8361
352.82                    0.8360
353.08                    0.8359
353.35                    0.8358
353.62                    0.8357
353.88                    0.8356
354.15                    0.8355
354.41                    0.8354
354.68                    0.8353
354.94                    0.8352
355.21                    0.8351
355.47                    0.8350
355.74                    0.8349
356.00                    0.8347
356.27                    0.8346
356.53                    0.8345
356.80                    0.8344
357.07                    0.8343
357.33                    0.8342
357.60                    0.8341
357.86                    0.8340
358.13                    0.8339
358.39                    0.8338
358.66                    0.8337
358.92                    0.8336
359.19                    0.8335
359.45                    0.8334
359.72                    0.8333
359.98                    0.8332
360.25                    0.8331
360.51                    0.8330
360.78                    0.8329
361.05                    0.8328
361.31                    0.8327
361.58                    0.8326
361.84                    0.8325
362.11                    0.8324
362.37                    0.8323
362.64                    0.8322
362.90                    0.8321
363.17                    0.8320
363.43                    0.8318
363.70                    0.8317
363.96                    0.8316
364.23                    0.8315
364.49                    0.8314
364.76                    0.8313
365.03                    0.8312
365.29                    0.8311
365.56                    0.8310
365.82                    0.8309
366.09                    0.8308
366.35                    0.8307
366.62                    0.8306
366.88                    0.8305
367.15                    0.8304
367.41                    0.8303
367.68                    0.8302
367.94                    0.8301
368.21                    0.8300
368.47                    0.8299
368.74                    0.8298
369.01                    0.8297
369.27                    0.8296
369.54                    0.8295
369.80                    0.8294
370.07                    0.8293
370.33                    0.8292
370.60                    0.8291
370.86                    0.8289
371.13                    0.8288
371.39                    0.8287
371.66                    0.8286
371.92                    0.8285
372.19                    0.8284
372.45                    0.8283
372.72                    0.8282
372.99                    0.8281
373.25                    0.8280
373.52                    0.8279
373.78                    0.8278
374.05                    0.8277
374.31                    0.8276
374.58                    0.8275
374.84                    0.8274
375.11                    0.8273
375.37                    0.8272
375.64                    0.8271
375.90                    0.8270
376.17                    0.8269
376.43                    0.8268
376.70                    0.8267
376.97                    0.8266
377.23                    0.8265
377.50                    0.8264
377.76                    0.8263
378.03                    0.8262
378.29                    0.8261
378.56                    0.8259
378.82                    0.8258
379.09                    0.8257
379.35                    0.8256
379.62                    0.8255
379.88                    0.8254
380.15                    0.8253
380.41                    0.8252
380.68                    0.8251
380.95                    0.8250
381.21                    0.8249
381.48                    0.8248
381.74                    0.8247
382.01                    0.8246
382.27                    0.8245
382.54                    0.8244
382.80                    0.8243
383.07                    0.8242
383.33                    0.8241
383.60                    0.8240
383.86                    0.8239
384.13                    0.8238
384.40                    0.8237
384.66                    0.8236
384.93                    0.8235
385.19                    0.8234
385.46                    0.8233
385.72                    0.8232
385.99                    0.8231
386.25                    0.8230
386.52                    0.8229
386.78                    0.8228
387.05                    0.8227
387.31                    0.8226
387.58                    0.8225
387.84                    0.8224
388.11                    0.8223
388.38                    0.8223
388.64                    0.8222
388.91                    0.8221
389.17                    0.8220
389.44                    0.8219
389.70                    0.8219
389.97                    0.8218
390.23                    0.8217
390.50                    0.8217
390.76                    0.8216
391.03                    0.8215
391.29                    0.8215
391.56                    0.8214
391.82                    0.8214
392.09                    0.8213
392.36                    0.8212
