# sky background 0.3-1.0um
# GREY optical sky - 80%ile conditions (day 11)
#AM=1.0
#
#derived from sky spectrum with constant slope to match assumed photometric background
#increasingly poor model at very bright sky (day14);  patched to near-IR background at 920nm
#
#1 March 2001 : Phil Puxley

#nm         phot/s/nm/arcsec^2/m^2
320.00                    0.0000
349.99                    0.0000
350.17                    2.2586
350.43                    2.2578
350.70                    2.2570
350.96                    2.2562
351.23                    2.2555
351.49                    2.2547
351.76                    2.2539
352.02                    2.2531
352.29                    2.2524
352.55                    2.2516
352.82                    2.2508
353.08                    2.2500
353.35                    2.2493
353.62                    2.2485
353.88                    2.2477
354.15                    2.2469
354.41                    2.2461
354.68                    2.2454
354.94                    2.2446
355.21                    2.2438
355.47                    2.2430
355.74                    2.2423
356.00                    2.2415
356.27                    2.2407
356.53                    2.2399
356.80                    2.2392
357.07                    2.2384
357.33                    2.2376
357.60                    2.2368
357.86                    2.2361
358.13                    2.2353
358.39                    2.2345
358.66                    2.2337
358.92                    2.2330
359.19                    2.2322
359.45                    2.2314
359.72                    2.2306
359.98                    2.2299
360.25                    2.2291
360.51                    2.2283
360.78                    2.2275
361.05                    2.2267
361.31                    2.2260
361.58                    2.2252
361.84                    2.2244
362.11                    2.2236
362.37                    2.2229
362.64                    2.2221
362.90                    2.2213
363.17                    2.2205
363.43                    2.2198
363.70                    2.2190
363.96                    2.2182
364.23                    2.2174
364.49                    2.2167
364.76                    2.2159
365.03                    2.2151
365.29                    2.2143
365.56                    2.2136
365.82                    2.2128
366.09                    2.2120
366.35                    2.2112
366.62                    2.2105
366.88                    2.2097
367.15                    2.2089
367.41                    2.2081
367.68                    2.2073
367.94                    2.2066
368.21                    2.2058
368.47                    2.2050
368.74                    2.2042
369.01                    2.2035
369.27                    2.2027
369.54                    2.2019
369.80                    2.2011
370.07                    2.2004
370.33                    2.1996
370.60                    2.1988
370.86                    2.1980
371.13                    2.1973
371.39                    2.1965
371.66                    2.1957
371.92                    2.1949
372.19                    2.1942
372.45                    2.1934
372.72                    2.1926
372.99                    2.1918
373.25                    2.1911
373.52                    2.1903
373.78                    2.1895
374.05                    2.1887
374.31                    2.1879
374.58                    2.1872
374.84                    2.1864
375.11                    2.1856
375.37                    2.1848
375.64                    2.1841
375.90                    2.1833
376.17                    2.1825
376.43                    2.1817
376.70                    2.1810
376.97                    2.1802
377.23                    2.1794
377.50                    2.1786
377.76                    2.1779
378.03                    2.1771
378.29                    2.1763
378.56                    2.1755
378.82                    2.1748
379.09                    2.1740
379.35                    2.1732
379.62                    2.1724
379.88                    2.1717
380.15                    2.1709
380.41                    2.1701
380.68                    2.1693
380.95                    2.1685
381.21                    2.1678
381.48                    2.1670
381.74                    2.1662
382.01                    2.1654
382.27                    2.1647
382.54                    2.1639
382.80                    2.1631
383.07                    2.1623
383.33                    2.1616
383.60                    2.1608
383.86                    2.1600
384.13                    2.1592
384.40                    2.1585
384.66                    2.1577
384.93                    2.1569
385.19                    2.1561
385.46                    2.1554
385.72                    2.1546
385.99                    2.1538
386.25                    2.1531
386.52                    2.1523
386.78                    2.1515
387.05                    2.1508
387.31                    2.1500
387.58                    2.1492
387.84                    2.1485
388.11                    2.1477
388.38                    2.1470
388.64                    2.1462
388.91                    2.1455
389.17                    2.1447
389.44                    2.1439
389.70                    2.1432
389.97                    2.1424
390.23                    2.1417
390.50                    2.1410
390.76                    2.1403
391.03                    2.1395
391.29                    2.1388
391.56                    2.1381
391.82                    2.1373
392.09                    2.1366
392.36                    2.1359
