# sky background 0.3-1.0um
# GREY optical sky - 80%ile conditions (day 11)
# AM=2.0
#
#derived from sky spectrum with constant slope to match assumed photometric background
#increasingly poor model at very bright sky (day14);  patched to near-IR background at 920nm
#
#1 March 2001 : Phil Puxley

#nm         phot/s/nm/arcsec^2/m^2
320.00                    0.0000
349.99                    0.0000
350.17                    3.1687
350.43                    3.1679
350.70                    3.1670
350.96                    3.1661
351.23                    3.1652
351.49                    3.1643
351.76                    3.1634
352.02                    3.1625
352.29                    3.1616
352.55                    3.1607
352.82                    3.1599
353.08                    3.1590
353.35                    3.1581
353.62                    3.1572
353.88                    3.1563
354.15                    3.1554
354.41                    3.1545
354.68                    3.1536
354.94                    3.1527
355.21                    3.1519
355.47                    3.1510
355.74                    3.1501
356.00                    3.1492
356.27                    3.1483
356.53                    3.1474
356.80                    3.1465
357.07                    3.1456
357.33                    3.1447
357.60                    3.1439
357.86                    3.1430
358.13                    3.1421
358.39                    3.1412
358.66                    3.1403
358.92                    3.1394
359.19                    3.1385
359.45                    3.1376
359.72                    3.1367
359.98                    3.1359
360.25                    3.1350
360.51                    3.1341
360.78                    3.1332
361.05                    3.1323
361.31                    3.1314
361.58                    3.1305
361.84                    3.1296
362.11                    3.1287
362.37                    3.1279
362.64                    3.1270
362.90                    3.1261
363.17                    3.1252
363.43                    3.1243
363.70                    3.1234
363.96                    3.1225
364.23                    3.1216
364.49                    3.1207
364.76                    3.1199
365.03                    3.1190
365.29                    3.1181
365.56                    3.1172
365.82                    3.1163
366.09                    3.1154
366.35                    3.1145
366.62                    3.1136
366.88                    3.1127
367.15                    3.1119
367.41                    3.1110
367.68                    3.1101
367.94                    3.1092
368.21                    3.1083
368.47                    3.1074
368.74                    3.1065
369.01                    3.1056
369.27                    3.1048
369.54                    3.1039
369.80                    3.1030
370.07                    3.1021
370.33                    3.1012
370.60                    3.1003
370.86                    3.0994
371.13                    3.0985
371.39                    3.0976
371.66                    3.0968
371.92                    3.0959
372.19                    3.0950
372.45                    3.0941
372.72                    3.0932
372.99                    3.0923
373.25                    3.0914
373.52                    3.0905
373.78                    3.0896
374.05                    3.0888
374.31                    3.0879
374.58                    3.0870
374.84                    3.0861
375.11                    3.0852
375.37                    3.0843
375.64                    3.0834
375.90                    3.0825
376.17                    3.0816
376.43                    3.0808
376.70                    3.0799
376.97                    3.0790
377.23                    3.0781
377.50                    3.0772
377.76                    3.0763
378.03                    3.0754
378.29                    3.0745
378.56                    3.0736
378.82                    3.0728
379.09                    3.0719
379.35                    3.0710
379.62                    3.0701
379.88                    3.0692
380.15                    3.0683
380.41                    3.0674
380.68                    3.0665
380.95                    3.0656
381.21                    3.0648
381.48                    3.0639
381.74                    3.0630
382.01                    3.0621
382.27                    3.0612
382.54                    3.0603
382.80                    3.0594
383.07                    3.0585
383.33                    3.0576
383.60                    3.0568
383.86                    3.0559
384.13                    3.0550
384.40                    3.0541
384.66                    3.0532
384.93                    3.0523
385.19                    3.0514
385.46                    3.0506
385.72                    3.0497
385.99                    3.0488
386.25                    3.0479
386.52                    3.0470
386.78                    3.0461
387.05                    3.0453
387.31                    3.0444
387.58                    3.0435
387.84                    3.0426
388.11                    3.0418
388.38                    3.0409
388.64                    3.0400
388.91                    3.0392
389.17                    3.0383
389.44                    3.0374
389.70                    3.0366
389.97                    3.0357
390.23                    3.0349
390.50                    3.0340
390.76                    3.0332
391.03                    3.0323
391.29                    3.0315
391.56                    3.0306
391.82                    3.0298
392.09                    3.0290
392.36                    3.0281
