# mid-IR telescope emission 5-30um
# assumes grey emissivity of 6%
# 
# original data from Scott Fisher
#
# sampled (1 point in 10) by Phil Puxley
# 3 Sept 2003
#
#  Wavelength        Flux density
#  (nm)          (ph/sec/nm/arcsec2/m2)

  5000   43260
  5010   43812
  5020   44370
  5030   44928
  5040   45492
  5050   46062
  5060   46632
  5070   47208
  5080   47790
  5090   48372
  5100   48960
  5110   49554
  5120   50148
  5130   50748
  5140   51354
  5150   51960
  5160   52572
  5170   53190
  5180   53808
  5190   54432
  5200   55062
  5210   55692
  5220   56328
  5230   56970
  5240   57612
  5250   58260
  5260   58914
  5270   59568
  5280   60240
  5290   60900
  5300   61560
  5310   62220
  5320   62880
  5330   63600
  5340   64260
  5350   64980
  5360   65640
  5370   66360
  5380   67020
  5390   67740
  5400   68460
  5410   69180
  5420   69900
  5430   70560
  5440   71340
  5450   72060
  5460   72780
  5470   73500
  5480   74220
  5490   74940
  5500   75720
  5510   76440
  5520   77220
  5530   77940
  5540   78720
  5550   79500
  5560   80220
  5570   81000
  5580   81780
  5590   82560
  5600   83340
  5610   84120
  5620   84900
  5630   85680
  5640   86460
  5650   87300
  5660   88080
  5670   88860
  5680   89700
  5690   90480
  5700   91320
  5710   92100
  5720   92940
  5730   93780
  5740   94560
  5750   95400
  5760   96240
  5770   97080
  5780   97920
  5790   98760
  5800   99600
  5810  100440
  5820  101280
  5830  102180
  5840  103020
  5850  103860
  5860  104760
  5870  105600
  5880  106440
  5890  107340
  5900  108240
  5910  109080
  5920  109980
  5930  110880
  5940  111720
  5950  112620
  5960  113520
  5970  114420
  5980  115320
  5990  116220
  6000  117120
  6010  118020
  6020  118920
  6030  119820
  6040  120720
  6050  121680
  6060  122580
  6070  123480
  6080  124440
  6090  125340
  6100  126240
  6110  127200
  6120  128100
  6130  129060
  6140  130020
  6150  130920
  6160  131880
  6170  132840
  6180  133740
  6190  134700
  6200  135660
  6210  136620
  6220  137580
  6230  138540
  6240  139500
  6250  140460
  6260  141420
  6270  142380
  6280  143340
  6290  144300
  6300  145260
  6310  146280
  6320  147240
  6330  148200
  6340  149220
  6350  150180
  6360  151140
  6370  152160
  6380  153120
  6390  154140
  6400  155100
  6410  156120
  6420  157080
  6430  158100
  6440  159060
  6450  160080
  6460  161100
  6470  162060
  6480  163080
  6490  164100
  6500  165120
  6510  166080
  6520  167100
  6530  168120
  6540  169140
  6550  170160
  6560  171180
  6570  172200
  6580  173220
  6590  174240
  6600  175260
  6610  176280
  6620  177300
  6630  178320
  6640  179340
  6650  180360
  6660  181380
  6670  182400
  6680  183420
  6690  184440
  6700  185520
  6710  186540
  6720  187560
  6730  188580
  6740  189660
  6750  190680
  6760  191700
  6770  192720
  6780  193800
  6790  194820
  6800  195840
  6810  196920
  6820  197940
  6830  199020
  6840  200040
  6850  201060
  6860  202140
  6870  203160
  6880  204240
  6890  205260
  6900  206340
  6910  207360
  6920  208380
  6930  209460
  6940  210480
  6950  211560
  6960  212580
  6970  213660
  6980  214740
  6990  215760
  7000  216840
  7010  217860
  7020  218940
  7030  219960
  7040  221040
  7050  222060
  7060  223140
  7070  224160
  7080  225240
  7090  226320
  7100  227340
  7110  228420
  7120  229440
  7130  230520
  7140  231600
  7150  232620
  7160  233700
  7170  234720
  7180  235800
  7190  236820
  7200  237900
  7210  238980
  7220  240000
  7230  241080
  7240  242100
  7250  243180
  7260  244200
  7270  245280
  7280  246360
  7290  247380
  7300  248460
  7310  249480
  7320  250560
  7330  251580
  7340  252660
  7350  253680
  7360  254760
  7370  255840
  7380  256860
  7390  257940
  7400  258960
  7410  260040
  7420  261060
  7430  262080
  7440  263160
  7450  264180
  7460  265260
  7470  266280
  7480  267360
  7490  268380
  7500  269460
  7510  270480
  7520  271500
  7530  272580
  7540  273600
  7550  274620
  7560  275700
  7570  276720
  7580  277740
  7590  278820
  7600  279840
  7610  280860
  7620  281940
  7630  282960
  7640  283980
  7650  285000
  7660  286080
  7670  287100
  7680  288120
  7690  289140
  7700  290160
  7710  291180
  7720  292200
  7730  293280
  7740  294300
  7750  295320
  7760  296340
  7770  297360
  7780  298380
  7790  299400
  7800  300420
  7810  301440
  7820  302460
  7830  303480
  7840  304500
  7850  305460
  7860  306480
  7870  307500
  7880  308520
  7890  309540
  7900  310560
  7910  311520
  7920  312540
  7930  313560
  7940  314520
  7950  315540
  7960  316560
  7970  317520
  7980  318540
  7990  319560
  8000  320520
  8010  321540
  8020  322500
  8030  323520
  8040  324480
  8050  325500
  8060  326460
  8070  327420
  8080  328440
  8090  329400
  8100  330420
  8110  331380
  8120  332340
  8130  333300
  8140  334320
  8150  335280
  8160  336240
  8170  337200
  8180  338160
  8190  339120
  8200  340080
  8210  341040
  8220  342000
  8230  342960
  8240  343920
  8250  344880
  8260  345840
  8270  346800
  8280  347760
  8290  348720
  8300  349680
  8310  350580
  8320  351540
  8330  352500
  8340  353400
  8350  354360
  8360  355320
  8370  356220
  8380  357180
  8390  358080
  8400  359040
  8410  359940
  8420  360900
  8430  361800
  8440  362760
  8450  363660
  8460  364560
  8470  365520
  8480  366420
  8490  367320
  8500  368220
  8510  369120
  8520  370080
  8530  370980
  8540  371880
  8550  372780
  8560  373680
  8570  374580
  8580  375480
  8590  376380
  8600  377220
  8610  378120
  8620  379020
  8630  379920
  8640  380820
  8650  381660
  8660  382560
  8670  383460
  8680  384300
  8690  385200
  8700  386040
  8710  386940
  8720  387780
  8730  388680
  8740  389520
  8750  390420
  8760  391260
  8770  392100
  8780  393000
  8790  393840
