# Telescope Reflectivity with 2 silver mirrors
# Columns are (1) wavelength in nm and (2) reflectivity 0-1
# Source: https://www.gemini.edu/sciops/instruments/optics/Gemini_Optics_Reflectivity_Data.xlsx
# Data taken from GN sample from August 2013
# Update 17/05/2017 by A. Shugart at GS


Wavelength (nm)	Looking up
200	    0.001274457
200.5	0.001349939
201	    0.001433853
201.5	0.001524695
202	    0.001600368
202.5	0.00169218
203	    0.001769486
203.5	0.001864452
204	    0.001960024
204.5	0.002047711
205	    0.002147377
205.5	0.002244863
206	    0.002343132
206.5	0.002429982
207	    0.002536946
207.5	0.002641486
208	    0.002731001
208.5	0.002836171
209	    0.002933575
209.5	0.003034059
210	    0.003144242
210.5	0.003241702
211	    0.003349823
211.5	0.003446604
212	    0.003543023
212.5	0.003657128
213	    0.00375759
213.5	0.003855409
214	    0.003964085
214.5	0.004058353
215	    0.004170357
215.5	0.004275619
216	    0.004377176
216.5	0.00448719
217	    0.00459339
217.5	0.004701358
218	    0.004813667
218.5	0.004914057
219	    0.005025202
219.5	0.005136404
220	    0.005242468
220.5	0.005358908
221	    0.005469282
221.5	0.005573691
222	    0.005689853
222.5	0.005807832
223	    0.005924112
223.5	0.006036921
224	    0.006145175
224.5	0.006268837
225	    0.006382459
225.5	0.006506343
226	    0.006629827
226.5	0.006750722
227	    0.006874124
227.5	0.007008396
228	    0.007133863
228.5	0.007266328
229	    0.007396473
229.5	0.007521845
230 	0.007659096
230.5	0.007792898
231	    0.007928498
231.5	0.008063079
232	    0.008197514
232.5	0.008326565
233	    0.008470394
233.5	0.008600916
234	    0.00873548
234.5	0.008872824
235	    0.009005881
235.5	0.009156499
236	    0.009276136
236.5	0.009405011
237	    0.009551512
237.5	0.00968229
238	    0.009821006
238.5	0.009950285
239	    0.010083092
239.5	0.010221279
240	    0.010342831
240.5	0.010478743
241	    0.01062136
241.5	0.010751805
242	    0.01087978
242.5	0.011011997
243	    0.011153158
243.5	0.011274709
244	    0.011401946
244.5	0.011542403
245	    0.011660218
245.5	0.011790379
246	    0.011910105
246.5	0.012043893
247	    0.012158043
247.5	0.012298315
248	    0.012414088
248.5	0.012538226
249	    0.012666192
249.5	0.012779558
250	    0.01290412
250.5	0.013025365
251	    0.013138617
251.5	0.013251563
252	    0.013372866
252.5	0.013492235
253	    0.013607571
253.5	0.013725215
254	    0.013834599
254.5	0.013943234
255	    0.014042375
255.5	0.014153155
256	    0.014251315
256.5	0.014352453
257	    0.014450762
257.5	0.014551598
258	    0.014641071
258.5	0.014717854
259	    0.014829602
259.5	0.014897735
