# near-IR sky transmission 0.9-5.6um
# 100%-ile = 5.0mm H2O, sec z = 2.0
#  
# Modification of original spectrum from 
# ATRANS via Tom Geballe
# 4Nov99 - converted to units of nm from um 
#                        Phil Puxley
#
#  Wavelength   Transmission
#  (nm)  

   900.0         0.906586
   900.5         0.891105
   901.0         0.896619
   901.5         0.900469
   902.0         0.897511
   902.5         0.902651
   903.0         0.920896
   903.5         0.956994
   904.0         0.971966
   904.5         0.967009
   905.0         0.969137
   905.5         0.965587
   906.0         0.958588
   906.5         0.934818
   907.0         0.899457
   907.5          0.88653
   908.0         0.899117
   908.5         0.901725
   909.0         0.911349
   909.5         0.917964
   910.0         0.909442
   910.5         0.901089
   911.0         0.912827
   911.5         0.935603
   912.0         0.921782
   912.5         0.924657
   913.0         0.901086
   913.5         0.865984
   914.0         0.886684
   914.5         0.935791
   915.0          0.92564
   915.5         0.866535
   916.0          0.87794
   916.5         0.934104
   917.0          0.93541
   917.5         0.893393
   918.0         0.894735
   918.5         0.926426
   919.0         0.946813
   919.5         0.950258
   920.0         0.957684
   920.5         0.974804
   921.0         0.969979
   921.5         0.957094
   922.0         0.953797
   922.5         0.966851
   923.0         0.969774
   923.5         0.963045
   924.0          0.95499
   924.5         0.950611
   925.0         0.950832
   925.5         0.959778
   926.0         0.962166
   926.5         0.963134
   927.0         0.969549
   927.5         0.948558
   928.0         0.909733
   928.5         0.895155
   929.0          0.89141
   929.5         0.867382
   930.0         0.828061
   930.5          0.80996
   931.0         0.784974
   931.5         0.740765
   932.0         0.681801
   932.5         0.658716
   933.0         0.666303
   933.5         0.642806
   934.0         0.576496
   934.5         0.536296
   935.0         0.616834
   935.5          0.62856
   936.0         0.591505
   936.5         0.646778
   937.0          0.61506
   937.5         0.608769
   938.0         0.622615
   938.5         0.649596
   939.0         0.753207
   939.5         0.851712
   940.0         0.847743
   940.5         0.814583
   941.0         0.795665
   941.5         0.789735
   942.0         0.800751
   942.5         0.753695
   943.0         0.672516
   943.5         0.715147
   944.0         0.663398
   944.5         0.620309
   945.0          0.73987
   945.5         0.742677
   946.0         0.669532
   946.5         0.697503
   947.0         0.755187
   947.5         0.762431
   948.0         0.723635
   948.5         0.726876
   949.0         0.806831
   949.5         0.738323
   950.0          0.63301
   950.5         0.689045
   951.0         0.822361
   951.5         0.817337
   952.0         0.716764
   952.5         0.697842
   953.0         0.759176
   953.5         0.809997
   954.0         0.799322
   954.5         0.755013
   955.0         0.764578
   955.5          0.76366
   956.0         0.757036
   956.5         0.759204
   957.0         0.756339
   957.5         0.829586
   958.0         0.832713
   958.5          0.79323
   959.0          0.75155
   959.5         0.734929
   960.0         0.797999
   960.5         0.832251
   961.0         0.848633
   961.5         0.872588
   962.0         0.844552
   962.5         0.817867
   963.0         0.860563
   963.5         0.880445
   964.0         0.829524
   964.5         0.821835
   965.0         0.856278
   965.5         0.902531
   966.0         0.888816
   966.5           0.8573
   967.0         0.879787
   967.5         0.927002
   968.0          0.94268
   968.5         0.939317
   969.0         0.961099
   969.5         0.965535
   970.0         0.952566
   970.5         0.947892
   971.0         0.962154
   971.5         0.956419
   972.0         0.950027
   972.5         0.945056
   973.0         0.941275
   973.5         0.923741
   974.0         0.905669
   974.5         0.915215
   975.0          0.91999
   975.5         0.914742
   976.0         0.907011
   976.5         0.917892
   977.0         0.949145
   977.5         0.961711
   978.0         0.946871
   978.5          0.94088
   979.0         0.945306
   979.5         0.938316
   980.0         0.941998
   980.5         0.949981
   981.0         0.973148
   981.5         0.980049
   982.0           0.9752
   982.5         0.967067
   983.0          0.96764
   983.5         0.980003
   984.0         0.987255
   984.5         0.983449
   985.0         0.979926
   985.5         0.986919
   986.0         0.994891
   986.5         0.996216
   987.0         0.992837
   987.5          0.99065
   988.0         0.994026
   988.5         0.997935
   989.0         0.998499
   989.5          0.99662
   990.0         0.994555
   990.5         0.995911
   991.0         0.997719
   991.5         0.998384
   992.0         0.998464
   992.5         0.997036
   993.0         0.995815
   993.5         0.997608
   994.0          0.99902
   994.5         0.999392
   995.0         0.999483
   995.5         0.999097
   996.0         0.999065
   996.5         0.999368
   997.0          0.99925
   997.5         0.999114
   998.0         0.998898
   998.5         0.999067
   999.0         0.998986
   999.5         0.998533
  1000.0         0.998528
  1000.5         0.999114
  1001.0         0.999061
  1001.5         0.996988
  1002.0          0.99472
  1002.5         0.996082
  1003.0         0.998545
  1003.5         0.998968
  1004.0         0.998036
  1004.5         0.998304
  1005.0         0.998824
  1005.5         0.998503
  1006.0         0.998749
  1006.5         0.999114
  1007.0          0.99907
  1007.5           0.9987
  1008.0         0.998076
  1008.5         0.997831
  1009.0          0.99645
  1009.5         0.995404
  1010.0         0.996765
  1010.5         0.998391
  1011.0         0.999092
  1011.5         0.998893
  1012.0         0.998186
  1012.5         0.998639
  1013.0         0.999334
  1013.5         0.999571
  1014.0         0.999458
  1014.5         0.999072
  1015.0         0.999069
  1015.5         0.998856
  1016.0         0.999265
  1016.5         0.999498
  1017.0         0.999186
  1017.5         0.999213
  1018.0         0.999607
  1018.5         0.999554
  1019.0           0.9984
  1019.5         0.997727
  1020.0         0.998903
  1020.5         0.999446
  1021.0          0.99954
  1021.5         0.999171
  1022.0         0.999217
  1022.5         0.999238
  1023.0         0.998555
  1023.5         0.997563
  1024.0          0.99721
  1024.5         0.998854
  1025.0         0.999597
  1025.5         0.999467
  1026.0         0.999421
  1026.5          0.99954
  1027.0         0.999214
  1027.5         0.998702
  1028.0         0.999152
  1028.5         0.999339
  1029.0         0.999469
  1029.5         0.999722
  1030.0         0.999823
  1030.5         0.999864
  1031.0         0.999742
  1031.5          0.99964
  1032.0         0.999825
  1032.5          0.99996
  1033.0         0.999914
  1033.5         0.999862
  1034.0         0.999939
  1034.5         0.999992
  1035.0         0.999995
  1035.5         0.999958
  1036.0         0.999895
  1036.5         0.999842
  1037.0         0.999793
  1037.5          0.99983
  1038.0         0.999912
  1038.5         0.999931
  1039.0         0.999916
  1039.5         0.999909
  1040.0         0.999909
  1040.5         0.999919
  1041.0         0.999947
  1041.5         0.999975
  1042.0         0.999994
  1042.5         0.999999
  1043.0                1
  1043.5                1
  1044.0                1
  1044.5                1
  1045.0                1
  1045.5                1
  1046.0                1
  1046.5                1
  1047.0                1
  1047.5                1
  1048.0         0.999994
  1048.5         0.999914
  1049.0         0.999602
  1049.5         0.999302
  1050.0         0.999432
  1050.5         0.999736
  1051.0         0.999837
  1051.5          0.99976
  1052.0         0.999706
  1052.5         0.999727
  1053.0         0.999785
  1053.5         0.999848
  1054.0         0.999894
  1054.5         0.999924
  1055.0         0.999948
  1055.5         0.999961
  1056.0         0.999971
  1056.5         0.999982
  1057.0         0.999971
  1057.5          0.99996
  1058.0         0.999951
  1058.5         0.999929
  1059.0         0.999902
  1059.5         0.999931
  1060.0         0.999932
  1060.5         0.999931
  1061.0         0.999896
  1061.5          0.99987
  1062.0         0.999671
  1062.5         0.999368
  1063.0          0.99933
  1063.5         0.999327
  1064.0         0.999191
  1064.5         0.998704
  1065.0          0.99852
  1065.5         0.998837
  1066.0         0.999065
  1066.5          0.99918
  1067.0         0.998839
  1067.5         0.997939
  1068.0         0.997538
  1068.5         0.998162
  1069.0         0.998292
  1069.5         0.997802
  1070.0          0.99783
  1070.5         0.998532
  1071.0         0.999186
  1071.5         0.998795
  1072.0         0.997622
  1072.5          0.99701
  1073.0         0.997973
  1073.5         0.999146
  1074.0         0.998006
  1074.5         0.993898
  1075.0         0.994435
  1075.5          0.99828
  1076.0          0.99908
  1076.5         0.998231
  1077.0         0.994452
  1077.5         0.989984
  1078.0         0.993682
  1078.5         0.997348
  1079.0         0.998537
  1079.5          0.99644
  1080.0         0.990887
  1080.5         0.989298
  1081.0         0.990745
  1081.5         0.990815
  1082.0         0.994742
  1082.5         0.997716
  1083.0         0.993481
  1083.5         0.984931
  1084.0         0.987369
  1084.5         0.992109
  1085.0         0.993821
  1085.5         0.988001
  1086.0         0.970945
  1086.5         0.971087
  1087.0         0.985285
  1087.5         0.991847
  1088.0         0.994439
  1088.5         0.992465
  1089.0         0.986542
  1089.5         0.983488
  1090.0         0.979406
  1090.5         0.975347
  1091.0         0.988112
  1091.5         0.995888
  1092.0         0.985809
  1092.5         0.959402
  1093.0         0.962293
  1093.5         0.982846
  1094.0         0.986384
  1094.5         0.975791
  1095.0         0.969695
  1095.5         0.968747
  1096.0          0.95937
  1096.5         0.974404
  1097.0         0.987525
  1097.5         0.972913
  1098.0         0.960019
  1098.5         0.964055
  1099.0         0.957068
  1099.5         0.938677
  1100.0         0.938401
  1100.5         0.948442
  1101.0         0.947417
  1101.5         0.949417
  1102.0          0.93405
  1102.5         0.929012
  1103.0         0.934541
  1103.5         0.945217
  1104.0         0.933303
  1104.5         0.919628
  1105.0         0.939121
  1105.5         0.933847
  1106.0         0.907341
  1106.5         0.904956
  1107.0         0.941901
  1107.5          0.94465
  1108.0         0.902986
  1108.5         0.885021
  1109.0         0.908908
  1109.5         0.932661
  1110.0          0.93117
  1110.5         0.890674
  1111.0         0.857632
  1111.5         0.867014
  1112.0          0.90219
  1112.5         0.873929
  1113.0         0.780607
  1113.5         0.738646
  1114.0         0.801118
  1114.5         0.840832
  1115.0         0.749485
  1115.5         0.705777
  1116.0         0.656281
  1116.5         0.515336
  1117.0         0.539964
  1117.5         0.662041
  1118.0         0.728674
  1118.5         0.666385
  1119.0           0.5739
  1119.5         0.580275
  1120.0         0.619641
  1120.5         0.653535
  1121.0         0.702287
  1121.5         0.613609
  1122.0          0.45887
  1122.5         0.402132
  1123.0          0.54063
  1123.5         0.573527
  1124.0         0.598908
  1124.5          0.70249
  1125.0         0.603076
  1125.5         0.410546
  1126.0         0.454888
  1126.5         0.603271
  1127.0         0.658101
  1127.5         0.564349
  1128.0         0.551457
  1128.5         0.600328
  1129.0         0.582114
  1129.5         0.528218
  1130.0         0.542664
  1130.5         0.708858
  1131.0         0.828669
  1131.5         0.835507
  1132.0         0.797107
  1132.5         0.732882
  1133.0         0.648274
  1133.5         0.499238
  1134.0         0.389667
  1134.5          0.26006
  1135.0         0.267893
  1135.5         0.480184
  1136.0         0.585143
  1136.5         0.717174
  1137.0         0.825835
  1137.5         0.785816
  1138.0         0.751299
  1138.5         0.736592
  1139.0          0.82711
  1139.5         0.839504
  1140.0         0.764546
  1140.5         0.751296
  1141.0         0.702612
  1141.5         0.713926
  1142.0         0.758467
  1142.5         0.807678
  1143.0         0.844947
  1143.5         0.778009
  1144.0         0.625199
  1144.5         0.585028
  1145.0         0.621637
  1145.5          0.63516
  1146.0         0.636124
  1146.5         0.564292
  1147.0         0.512547
  1147.5         0.583027
  1148.0         0.758786
  1148.5         0.780819
  1149.0         0.719843
  1149.5         0.650165
  1150.0         0.621671
  1150.5         0.730095
  1151.0         0.753698
  1151.5          0.75863
  1152.0         0.716797
  1152.5         0.659569
  1153.0         0.729724
  1153.5         0.761027
  1154.0         0.698231
  1154.5         0.738583
  1155.0         0.804634
  1155.5         0.787059
  1156.0         0.794642
  1156.5          0.84234
  1157.0         0.858459
  1157.5          0.82358
  1158.0         0.823268
  1158.5          0.85308
  1159.0         0.843169
  1159.5         0.855277
  1160.0          0.84024
  1160.5         0.831552
  1161.0         0.876344
