# near-IR sky transmission 0.9-5.6um
# 3.0mm H2O, sec z = 1.0
#  
# Modification of original spectrum from 
# ATRANS via Tom Geballe
# 4Nov99 - converted to units of nm from um 
#                        Phil Puxley
#
#  Wavelength   Transmission
#  (nm)  

   900.0         0.940093
   900.5         0.931981
   901.0         0.937412
   901.5         0.936744
   902.0         0.931915
   902.5         0.935928
   903.0         0.949547
   903.5         0.974404
   904.0         0.984384
   904.5         0.981817
   905.0         0.982822
   905.5         0.980225
   906.0         0.976234
   906.5         0.961174
   907.0         0.934832
   907.5         0.926135
   908.0         0.937469
   908.5         0.939519
   909.0         0.945923
   909.5         0.952113
   910.0         0.946694
   910.5         0.941131
   911.0         0.949282
   911.5         0.962636
   912.0         0.952613
   912.5         0.954933
   913.0         0.941612
   913.5          0.91938
   914.0         0.931752
   914.5         0.963441
   915.0         0.957987
   915.5         0.919711
   916.0         0.925718
   916.5         0.962487
   917.0         0.964137
   917.5         0.938153
   918.0         0.938877
   918.5         0.958351
   919.0         0.970183
   919.5         0.971823
   920.0          0.97586
   920.5         0.986321
   921.0           0.9842
   921.5         0.976938
   922.0         0.974898
   922.5         0.981983
   923.0         0.983821
   923.5           0.9806
   924.0         0.976421
   924.5         0.973798
   925.0         0.973418
   925.5         0.978403
   926.0          0.98004
   926.5          0.98066
   927.0         0.984196
   927.5         0.972164
   928.0          0.94893
   928.5         0.940466
   929.0         0.938889
   929.5         0.923284
   930.0          0.89585
   930.5         0.878433
   931.0          0.85368
   931.5         0.816448
   932.0         0.771951
   932.5         0.757548
   933.0         0.764941
   933.5         0.750223
   934.0          0.69754
   934.5         0.656632
   935.0         0.719909
   935.5         0.728497
   936.0         0.695429
   936.5         0.745057
   937.0         0.724945
   937.5         0.721161
   938.0          0.73426
   938.5         0.752031
   939.0         0.826781
   939.5         0.903085
   940.0         0.904859
   940.5          0.88489
   941.0         0.870694
   941.5          0.86326
   942.0         0.867283
   942.5         0.827702
   943.0         0.761792
   943.5         0.793797
   944.0         0.751489
   944.5         0.721921
   945.0         0.821819
   945.5         0.825593
   946.0         0.767413
   946.5         0.789627
   947.0         0.839382
   947.5         0.846561
   948.0         0.812753
   948.5         0.809954
   949.0         0.870917
   949.5         0.816911
   950.0         0.737472
   950.5         0.780179
   951.0         0.883749
   951.5         0.882759
   952.0         0.805999
   952.5         0.790419
   953.0         0.839692
   953.5         0.877085
   954.0         0.865735
   954.5         0.829853
   955.0         0.840465
   955.5         0.844837
   956.0         0.839762
   956.5         0.838133
   957.0         0.835121
   957.5         0.889633
   958.0         0.890284
   958.5         0.862537
   959.0         0.837215
   959.5         0.828822
   960.0          0.87449
   960.5         0.896488
   961.0         0.906529
   961.5         0.922187
   962.0         0.902311
   962.5         0.884091
   963.0         0.913667
   963.5         0.926836
   964.0         0.893715
   964.5         0.889087
   965.0         0.911736
   965.5         0.943534
   966.0         0.934745
   966.5         0.913388
   967.0         0.927694
   967.5         0.956028
   968.0         0.964608
   968.5         0.963327
   969.0         0.978395
   969.5          0.98158
   970.0         0.972799
   970.5         0.968895
   971.0         0.977809
   971.5         0.973527
   972.0         0.969434
   972.5         0.968249
   973.0         0.966948
   973.5         0.956281
   974.0         0.944657
   974.5         0.947578
   975.0         0.948985
   975.5         0.946678
   976.0         0.943479
   976.5         0.952216
   977.0           0.9717
   977.5         0.979167
   978.0         0.969777
   978.5         0.964983
   979.0         0.968016
   979.5         0.964114
   980.0         0.966339
   980.5          0.97115
   981.0         0.985099
   981.5         0.989614
   982.0         0.987005
   982.5         0.982275
   983.0         0.982472
   983.5          0.98936
   984.0         0.993412
   984.5         0.991485
   985.0         0.989627
   985.5          0.99328
   986.0         0.997455
   986.5         0.998153
   987.0         0.996449
   987.5         0.995325
   988.0         0.997018
   988.5         0.998994
   989.0         0.999285
   989.5         0.998356
   990.0         0.997327
   990.5         0.997999
   991.0         0.998899
   991.5          0.99923
   992.0         0.999265
   992.5         0.998553
   993.0          0.99795
   993.5         0.998841
   994.0         0.999539
   994.5         0.999719
   995.0         0.999761
   995.5         0.999581
   996.0         0.999568
   996.5          0.99971
   997.0         0.999653
   997.5         0.999585
   998.0         0.999475
   998.5         0.999558
   999.0          0.99952
   999.5         0.999298
  1000.0           0.9993
  1000.5         0.999583
  1001.0         0.999551
  1001.5         0.998527
  1002.0         0.997406
  1002.5         0.998087
  1003.0         0.999298
  1003.5         0.999509
  1004.0         0.999054
  1004.5         0.999186
  1005.0         0.999444
  1005.5         0.999277
  1006.0         0.999399
  1006.5         0.999589
  1007.0         0.999569
  1007.5         0.999382
  1008.0          0.99907
  1008.5         0.998947
  1009.0         0.998272
  1009.5         0.997762
  1010.0         0.998435
  1010.5         0.999238
  1011.0         0.999585
  1011.5         0.999486
  1012.0         0.999134
  1012.5         0.999351
  1013.0         0.999692
  1013.5         0.999803
  1014.0         0.999751
  1014.5         0.999572
  1015.0         0.999565
  1015.5         0.999458
  1016.0         0.999652
  1016.5         0.999769
  1017.0         0.999623
  1017.5         0.999631
  1018.0         0.999822
  1018.5           0.9998
  1019.0         0.999249
  1019.5         0.998923
  1020.0         0.999487
  1020.5         0.999756
  1021.0         0.999801
  1021.5         0.999624
  1022.0         0.999639
  1022.5         0.999636
  1023.0         0.999306
  1023.5         0.998823
  1024.0         0.998648
  1024.5         0.999452
  1025.0         0.999826
  1025.5         0.999766
  1026.0         0.999741
  1026.5         0.999791
  1027.0         0.999631
  1027.5         0.999385
  1028.0           0.9996
  1028.5         0.999693
  1029.0         0.999759
  1029.5         0.999878
  1030.0         0.999925
  1030.5         0.999945
  1031.0         0.999892
  1031.5         0.999848
  1032.0         0.999933
  1032.5         0.999987
  1033.0         0.999968
  1033.5         0.999953
  1034.0         0.999983
  1034.5         0.999998
  1035.0         0.999998
  1035.5         0.999984
  1036.0         0.999958
  1036.5         0.999936
  1037.0         0.999914
  1037.5         0.999932
  1038.0         0.999971
  1038.5         0.999982
  1039.0         0.999975
  1039.5          0.99997
  1040.0         0.999971
  1040.5         0.999979
  1041.0         0.999993
  1041.5         0.999999
  1042.0                1
  1042.5                1
  1043.0                1
  1043.5                1
  1044.0                1
  1044.5                1
  1045.0                1
  1045.5                1
  1046.0                1
  1046.5                1
  1047.0                1
  1047.5                1
  1048.0         0.999998
  1048.5          0.99996
  1049.0         0.999814
  1049.5         0.999673
  1050.0         0.999737
  1050.5         0.999887
  1051.0         0.999939
  1051.5         0.999903
  1052.0         0.999874
  1052.5         0.999884
  1053.0         0.999913
  1053.5         0.999941
  1054.0         0.999963
  1054.5         0.999978
  1055.0         0.999989
  1055.5         0.999993
  1056.0         0.999994
  1056.5         0.999994
  1057.0          0.99999
  1057.5         0.999986
  1058.0         0.999983
  1058.5         0.999975
  1059.0         0.999961
  1059.5         0.999972
  1060.0         0.999972
  1060.5         0.999972
  1061.0          0.99996
  1061.5         0.999945
  1062.0         0.999846
  1062.5         0.999701
  1063.0         0.999685
  1063.5         0.999687
  1064.0          0.99962
  1064.5         0.999384
  1065.0         0.999294
  1065.5         0.999449
  1066.0          0.99956
  1066.5         0.999612
  1067.0         0.999444
  1067.5            0.999
  1068.0         0.998806
  1068.5         0.999111
  1069.0         0.999172
  1069.5         0.998925
  1070.0         0.998948
  1070.5         0.999297
  1071.0         0.999622
  1071.5         0.999429
  1072.0          0.99885
  1072.5         0.998545
  1073.0         0.999022
  1073.5         0.999591
  1074.0         0.998991
  1074.5         0.996879
  1075.0         0.997169
  1075.5         0.999148
  1076.0         0.999563
  1076.5         0.999134
  1077.0         0.997188
  1077.5         0.994893
  1078.0         0.996811
  1078.5         0.998701
  1079.0         0.999289
  1079.5         0.998166
  1080.0         0.995121
  1080.5         0.994304
  1081.0         0.995246
  1081.5         0.995352
  1082.0         0.997381
  1082.5         0.998851
  1083.0         0.996507
  1083.5         0.991954
  1084.0         0.993416
  1084.5         0.996022
  1085.0         0.996909
  1085.5         0.993652
  1086.0         0.984017
  1086.5         0.984029
  1087.0         0.992205
  1087.5         0.995867
  1088.0         0.997211
  1088.5         0.996197
  1089.0         0.993148
  1089.5         0.991483
  1090.0         0.988993
  1090.5         0.986632
  1091.0         0.993646
  1091.5         0.997843
  1092.0          0.99195
  1092.5         0.976882
  1093.0         0.979004
  1093.5         0.990896
  1094.0         0.992993
  1094.5         0.987373
  1095.0         0.983983
  1095.5         0.983437
  1096.0         0.978421
  1096.5         0.986509
  1097.0         0.993549
  1097.5         0.985962
  1098.0         0.979268
  1098.5         0.981294
  1099.0         0.977113
  1099.5         0.966188
  1100.0         0.966139
  1100.5         0.972431
  1101.0           0.9718
  1101.5         0.972774
  1102.0         0.964384
  1102.5         0.961468
  1103.0         0.963972
  1103.5         0.970057
  1104.0         0.963273
  1104.5         0.955669
  1105.0         0.967269
  1105.5         0.964434
  1106.0          0.94901
  1106.5         0.946806
  1107.0         0.967756
  1107.5         0.970085
  1108.0         0.946253
  1108.5         0.934308
  1109.0          0.94794
  1109.5          0.96249
  1110.0         0.959533
  1110.5         0.930158
  1111.0         0.907517
  1111.5         0.913903
  1112.0         0.939791
  1112.5         0.921601
  1113.0         0.856399
  1113.5         0.828307
  1114.0         0.871929
  1114.5         0.896629
  1115.0         0.822556
  1115.5         0.794287
  1116.0           0.7614
  1116.5         0.648295
  1117.0         0.664581
  1117.5         0.757074
  1118.0         0.811781
  1118.5           0.7637
  1119.0         0.689128
  1119.5         0.696986
  1120.0          0.72915
  1120.5         0.753836
  1121.0         0.792834
  1121.5         0.720073
  1122.0         0.588633
  1122.5         0.539031
  1123.0         0.654379
  1123.5         0.674255
  1124.0         0.696855
  1124.5         0.794414
  1125.0         0.709497
  1125.5         0.536614
  1126.0         0.585185
  1126.5         0.718679
  1127.0         0.764193
  1127.5         0.688383
  1128.0         0.675429
  1128.5         0.714003
  1129.0         0.700756
  1129.5         0.656121
  1130.0         0.669227
  1130.5         0.803958
  1131.0         0.894866
