# atmopsheric transparency model for ITC
# 80%-ile conditions
# columns are (1) wavelength in nm, (2) transmission (0-1)
# source: detailed 1mm H2O model at zenith with
# arbitrary optical values added
# author: Phil Puxley
# created: 27Aug1999

300 1
900 1
924 0.893
974 0.943
1024 1
1074 0.995
1124 0.799
1174 0.939
1224 0.989
1274 0.98
1324 0.891
1374 0.23
1424 0.504
1474 0.794
1524 0.985
1574 0.991
1624 0.988
1674 0.994
1724 0.981
1774 0.909
1824 0.343
1874 0.221
1924 0.373
1974 0.78
2024 0.773
2074 0.89
2124 0.993
2174 0.986
2224 0.985
2274 0.964
2324 0.948
2374 0.905
2424 0.861
2474 0.742
2524 0.349
2574 0
2624 0
2674 0
2724 0
2774 0
2824 0.108
2874 0.396
2924 0.588
2974 0.664
3024 0.672
3074 0.613
3124 0.681
3174 0.807
3224 0.474
3274 0.664
3324 0.595
3374 0.78
3424 0.851
3474 0.929
3524 0.938
3574 0.919
3624 0.939
3674 0.932
3724 0.945
3774 0.931
3824 0.931
3874 0.874
3924 0.864
3974 0.875
4024 0.811
4074 0.707
4124 0.504
4174 0.129
4224 0
4274 0
4324 0
4374 0
4424 0
4474 0.177
4524 0.317
4574 0.612
4624 0.802
4674 0.817
4724 0.699
4774 0.717
4824 0.627
4874 0.709
4924 0.827
4974 0.732
5024 0.643
5074 0.709
5124 0.538
5174 0.631
5224 0.277
5274 0.4
5324 0.478
5374 0.346
5424 0.144
5474 0.131
5524 0.183
5574 0
