# trecs_fk.dat
# Transmission curve for T-ReCS K-band filter
# Columns are (1) wavelength in nm, (2) transmission.
#
# No blocking element needed.
# Measurement temperature = 77K
#
# Author: James De Buizer, digitized from OCLI scans 
# Created: 2003 Apr 8
#
# Effective wavelength
2185
#
# lambda  filtn

1850    0.0
1871    0.0000
1899    0.0069
1932    0.0541
1963    0.2252
1984    0.4732
2001    0.6806
2015    0.7490
2030    0.7427
2045    0.7385
2068    0.7749
2091    0.8093
2123    0.8201
2153    0.8417
2178    0.8439
2206    0.8291
2257    0.8337
2286    0.8339
2321    0.8554
2335    0.8448
2347    0.8086
2363    0.6997
2389    0.4220
2414    0.2021
2432    0.1146
2452    0.0570
2477    0.0251
2506    0.0082
2531    0.0000
2600    0.0
