# trecs-wkbr.dat
# Transmission curve for T-ReCS KBr (Potassium Bromide) window. 
# Columns are (1) wavelength in nm, (2) transmission.
# Data from Janos web site plot for KBr, no AR-coating. 
#
# This window transmits from visible wavelenths to about 20 microns. 
# It is useful with the T-ReCS Near-IR and 10 micron band filters.
#
# Author: Tom Hayward
# Created: 2001 July 24
#
# lambda  wkbr

 1000    0.95
 2000    0.95
 3000    0.95
 4000    0.95
 5000    0.95
 6000    0.95
 7000    0.95
 8000    0.95
 9000    0.95
10000    0.95
12000    0.95
14000    0.95
16000    0.95
18000    0.95
20000    0.95
24000    0.70
28000    0.30
