# T-ReCS LoRes-10 Grating Efficiency
# T. Hayward, 2003 Apr 11
#
# Taken from LR10um_specifygrating spreadsheet
# Note that this is the _relative_ efficiency, defined to
# be 1.00 at the blaze wavelength, and is a theoretical curve,
# not measured from the delivered grating.

# modified 11apr2003 to include arbitary 90% 
# transmission at blaze - Phil Puxley

# WL    Relative Efficiency

7000	0.560
7500	0.690
8000	0.788
8500	0.851
9000	0.887
9500	0.899
10000	0.896
10500	0.879
11000	0.855
11500	0.824
12000	0.791
12500	0.755
13000	0.719
13500	0.683
14000	0.648

#original data follows
#
#7000	 0.622
#7500	 0.767
#8000	 0.875
#8500	 0.945
#9000	 0.985
#9500	 0.999
#10000 0.995
#10500 0.977
#11000 0.950
#11500 0.916
#12000 0.879
#12500 0.839
#13000 0.799
#13500 0.759
#14000 0.720
