# trecs_fm.dat
# Transmission curve for T-ReCS M-band filter
# Columns are (1) wavelength in nm, (2) transmission.
#
# No blocking element needed.
# Measurement temperature = 77K
#
# Author: James De Buizer, digitized from OCLI scans 
# Created: 2003 Apr 8
#
# Effective wavelength
4678
#
# lambda  filtn

4100    0.0
4101    0.0000
4202    0.0084
4247    0.0283
4286    0.0611
4315    0.1157
4346    0.2123
4371    0.3509
4395    0.5516
4416    0.7358
4439    0.8489
4463    0.9090
4496    0.9345
4521    0.9399
4550    0.9288
4581    0.9232
4622    0.9030
4653    0.8902
4672    0.8865
4705    0.8863
4734    0.8936
4767    0.8989
4797    0.8915
4837    0.8786
4859    0.8767
4882    0.8767
4898    0.8656
4913    0.8291
4927    0.7415
4942    0.6192
4964    0.4494
4985    0.2760
5012    0.1481
5043    0.0714
5074    0.0312
5113    0.0110
5152    0.0035
5189    0.0000
5245    0.0000
