# trecs_fN.dat
# Transmission curve for T-ReCS N filter (same as Visier)
# Columns are (1) wavelength in nm, (2) transmission.
#
# No blocking element needed.
# Measurement temperature = 15K
#
# Author: James De Buizer, digitized from info from U. Reading
# Created: 2003 Apr 9
#
# Effective wavelength
10360
#
# lambda  filtn

 7200    0.0
 7202    0.0000 
 7404    0.0055 
 7495    0.0223 
 7555    0.0578 
 7596    0.1082 
 7647    0.2182 
 7689    0.3656 
 7720    0.5429 
 7761    0.6865 
 7782    0.7723 
 7782    0.8190 
 7843    0.8451 
 7893    0.8152 
 7954    0.7929 
 8014    0.7929 
 8065    0.8246 
 8126    0.8638 
 8156    0.8899 
 8197    0.9085 
 8237    0.9048 
 8298    0.8787 
 8348    0.8171 
 8408    0.7555 
 8479    0.7145 
 8519    0.7108 
 8559    0.7220 
 8630    0.7686 
 8681    0.8264 
 8742    0.8805 
 8793    0.9179 
 8823    0.9365 
 8894    0.9402 
 8944    0.9141 
 9015    0.8768 
 9075    0.8470 
 9126    0.8376 
 9197    0.8488 
 9267    0.8694 
 9318    0.9029 
 9399    0.9253 
 9450    0.9365 
 9530    0.9253 
 9611    0.8973 
 9712    0.8656 
 9833    0.8526 
 9934    0.8768 
10005    0.8843 
10045    0.9104 
10116    0.8992 
10257    0.8899 
10379    0.8675 
10550    0.8395 
10702    0.8320 
10772    0.8451 
10863    0.8470 
10984    0.8264 
11095    0.8022 
11176    0.8022 
11257    0.8227 
11358    0.8432 
11368    0.8563 
11449    0.8544 
11510    0.8376 
11530    0.8451 
11601    0.8619 
11651    0.8805 
11692    0.8805 
11762    0.8638 
11863    0.8358 
11914    0.8152 
12004    0.8115 
12116    0.8227 
12217    0.8339 
12277    0.8358 
12358    0.8246 
12429    0.7929 
12499    0.7649 
12549    0.7369 
12620    0.7276 
12721    0.7444 
12762    0.7649 
12812    0.7649 
12863    0.7369 
12882    0.6679 
12922    0.5764 
12942    0.4757 
13002    0.3507 
13021    0.2500 
13091    0.1417 
13172    0.0634 
13272    0.0279 
13373    0.0111 
13525    0.0037 
13697    0.0000
13700    0.0
