# trecs_fNeII_ref.dat
# Transmission curve for T-ReCS 13.1um continuum reference filter
# normally used with NeII filter
# Columns are (1) wavelength in nm, (2) transmission.
#
# No blocking element needed.
# Measurement temperature = 10K
#
# Author: James De Buizer, digitized from info from U. Reading
# Created: 2003 Apr 9
#
# Effective wavelength
13100
#
# lambda  filtn

12700    0.0
12723    0.0000
12741    0.0050
12811    0.0048
12859    0.0220
12886    0.0487
12902    0.0926
12922    0.1557
12936    0.2398
12956    0.3659
12968    0.4711
12984    0.5322
12997    0.5647
13015    0.5876
13040    0.5952
13061    0.6028
13086    0.6180
13102    0.6295
13118    0.6237
13126    0.6008
13138    0.5415
13151    0.4669
13167    0.3368
13179    0.2297
13195    0.1398
13211    0.0767
13231    0.0403
13256    0.0173
13283    0.0077
13303    0.0058
13378    0.0037
13392    0.0000
13400    0.0
