# trecs_fQwide.dat
# Transmission curve for T-ReCS Qwide 20.9 um filter
# Columns are (1) wavelength in nm, (2) transmission.
#
# No blocking element needed.
# Measurement temperature = 25K
#
# Author: James De Buizer, digitized from info from U. Reading
# Created: 2003 Apr 9
#
# Effective wavelength
20676
#
# lambda  filtn

15800   0.0
15820   0.0000
16270   0.0082
16410   0.0165
16505   0.0351
16610   0.0724
16727   0.1221
16806   0.1449
16965   0.1656
17056   0.1863
17169   0.2215
17743   0.5051
18022   0.6356
18159   0.6749
18264   0.6956
18405   0.6956
18573   0.6811
18719   0.6645
18904   0.6563
19030   0.6583
19209   0.6687
19578   0.6956
19864   0.7060
20115   0.7122
20403   0.7018
20713   0.6873
21174   0.6645
21477   0.6521
21755   0.6438
21989   0.6480
22211   0.6521
22385   0.6418
22634   0.6211
22815   0.6128
22998   0.6086
23166   0.5962
23299   0.5714
23471   0.5320
23627   0.5051
23745   0.4968
23844   0.4968
23944   0.5134
24065   0.5300
24269   0.5403
24477   0.5362
24710   0.5217
24926   0.4989
25057   0.4699
25257   0.4037
25552   0.3167
25830   0.2401
26019   0.1863
26234   0.1469
26576   0.1035
26801   0.0724
27029   0.0621
27524   0.0372
28121   0.0186
28599   0.0103
29035   0.0062
29638   0.0020
30459   0.0000
30600   0.0
