# trecs_fQb.dat
# Transmission curve for T-ReCS Qb 24.5 um filter
# Columns are (1) wavelength in nm, (2) transmission.
#
# No blocking element needed.
# Measurement temperature = 25K
#
# Author: James De Buizer, digitized from info from U. Reading
# Created: 2003 Apr 9
#
# Effective wavelength
24557
#
# lambda  filtn

21700   0.0
21746   0.0000
22483   0.0010
22610   0.0072
22868   0.0132
23013   0.0240
23188   0.0534
23287   0.0813
23387   0.1217
23473   0.1745
23582   0.2662
23669   0.3517
23802   0.4682
23883   0.5537
23951   0.6003
24003   0.6205
24094   0.6267
24194   0.6235
24310   0.6141
24434   0.6016
24521   0.5922
24608   0.5875
24744   0.5889
24857   0.5935
24954   0.5997
25036   0.6028
25111   0.5996
25152   0.5903
25210   0.5762
25261   0.5513
25320   0.5171
25379   0.4704
25447   0.4112
25507   0.3506
25593   0.2712
25671   0.2183
25758   0.1529
25854   0.1062
25942   0.0704
26040   0.0408
26147   0.0236
26292   0.0126
26447   0.0048
26613   0.0000
26753   0.0000
26867   0.0015
27077   0.0014
27163   0.0000
27200   0.0
