# trecs_fQshort.dat
# Transmission curve for T-ReCS Qshort 17.7 um filter
# Columns are (1) wavelength in nm, (2) transmission.
#
# No blocking element needed.
# Measurement temperature = 10K
#
# Author: James De Buizer, digitized from info from U. Reading
# Created: 2003 Apr 9
#
# Effective wavelength
17650
#
# lambda  filtn

16600    0.0
16641    0.0000
16769    0.0067
16868    0.0084
16932    0.0177
17000    0.0307
17081    0.0586
17131    0.0847
17177    0.1238
17223    0.1779
17277    0.2618
17327    0.3457
17369    0.4296
17401    0.4948
17433    0.5433
17476    0.5881
17529    0.6216
17597    0.6439
17661    0.6513
17799    0.6512
17866    0.6380
17934    0.6119
17990    0.5689
18026    0.5315
18064    0.4793
18117    0.4102
18160    0.3411
18195    0.2758
18248    0.2086
18305    0.1413
18369    0.0928
18429    0.0591
18503    0.0348
18588    0.0179
18677    0.0104
18766    0.0047
18883    0.0009
18946    0.0000
19000    0.0
