# trecs_fQa.dat
# Transmission curve for T-ReCS Qa 18.3 um filter
# Columns are (1) wavelength in nm, (2) transmission.
#
# No blocking element needed.
# Measurement temperature = 25K
#
# Author: James De Buizer, digitized from info from U. Reading
# Created: 2003 Apr 9
#
# Effective wavelength
18295
#
# lambda  filtn

17000   0.0
17028   0.0000
17259   0.0062
17354   0.0227
17401   0.0496
17441   0.0848
17481   0.1345
17529   0.2505
17594   0.3871
17651   0.5072
17683   0.5445
17725   0.5693
17782   0.5838
17832   0.5879
17933   0.6004
18052   0.6314
18129   0.6459
18251   0.6521
18374   0.6459
18543   0.6376
18607   0.6356
18716   0.6314
18827   0.6149
18892   0.5817
18939   0.5362
18996   0.4741
19053   0.3830
19110   0.2877
19158   0.1966
19216   0.1221
19274   0.0786
19343   0.0434
19402   0.0227
19481   0.0124
19591   0.0062
19703   0.0020
19836   0.0000
19900   0.0
