# trecs_fSi1.dat
# Transmission curve for T-ReCS Si-1 7.8um filter
# Columns are (1) wavelength in nm, (2) transmission.
#
# No blocking element needed.
# Measurement temperature = 77K
#
# Author: James De Buizer, digitized from OCLI scans 
# Created: 2003 Apr 8
#
# Effective wavelength
7734
#
# lambda  filtn

7100    0.0
7150    0.0000
7200    0.0163
7227    0.0160
7245    0.0286
7276    0.0573
7304    0.1097
7324    0.1712
7340    0.2436
7358    0.3596
7377    0.5137
7398    0.6695
7413    0.7819
7427    0.8471
7441    0.8942
7456    0.9212
7465    0.9302
7499    0.9317
7513    0.9171
7527    0.9151
7551    0.9040
7575    0.9001
7596    0.8945
7624    0.8997
7648    0.9140
7671    0.9264
7693    0.9353
7723    0.9405
7761    0.9401
7790    0.9326
7818    0.9214
7850    0.9030
7881    0.8809
7909    0.8643
7932    0.8387
7952    0.8149
7971    0.7875
7994    0.7473
8018    0.6872
8040    0.6144
8060    0.5108
8082    0.4035
8108    0.2889
8129    0.2107
8149    0.1488
8177    0.0832
8215    0.0357
8258    0.0098
8292    0.0059
8323    0.0019
8351    0.0000
8401    0.0000
