# trecs_fSi6.dat
# Transmission curve for T-ReCS Si-6 12.3 um filter
# Columns are (1) wavelength in nm, (2) transmission.
#
# No blocking element needed.
# Measurement temperature = 77K
#
# Author: James De Buizer, digitized from info from OCLI
# Created: 2003 Apr 9
#
# Effective wavelength
12328
#
# lambda  filtn

11300    0.0
11341    0.0000
11449    0.0098
11531    0.0334
11577    0.0569
11619    0.1020
11665    0.1856
11712    0.3250
11759    0.5031
11805    0.6147
11836    0.6790
11888    0.7433
11965    0.7926
12032    0.8162
12068    0.8140
12124    0.8354
12160    0.8482
12232    0.8546
12268    0.8503
12345    0.8288
12391    0.8180
12427    0.8201
12494    0.8372
12576    0.8522
12637    0.8478
12740    0.8284
12802    0.8090
12842    0.7446
12873    0.6395
12898    0.5193
12928    0.3969
12959    0.2896
13000    0.2016
13046    0.1457
13117    0.1049
13138    0.0791
13194    0.0276
13271    0.0039
13368    0.0017
13456    0.0016
13507    0.0000
13600    0.0
