# trecs_fSi4.dat
# Transmission curve for T-ReCS Si-4 9.8um filter
# Columns are (1) wavelength in nm, (2) transmission.
#
# No blocking element needed.
# Measurement temperature = 77K
#
# Author: James De Buizer, digitized from info from OCLI
# Created: 2003 Apr 9
#
# Effective wavelength
10382
#
# lambda  filtn

 9400    0.0
 9494    0.0000
 9612    0.0085
 9687    0.0277
 9734    0.0662
 9773    0.1367
 9813    0.2542
 9852    0.3846
 9884    0.5341
 9920    0.6623
 9956    0.8076
10006    0.9294
10035    0.9594
10067    0.9551
10113    0.9316
10146    0.9230
10210    0.9380
10300    0.9594
10386    0.9658
10454    0.9722
10522    0.9615
10590    0.9487
10626    0.9423
10690    0.9487
10737    0.9572
10780    0.9358
10805    0.8867
10826    0.8119
10851    0.7115
10873    0.6047
10887    0.5000
10909    0.4017
10926    0.2991
10955    0.2029
10998    0.1175
11041    0.0683
11098    0.0384
11152    0.0213
11206    0.0085
11260    0.0042
11335    0.0000
11500    0.0
