336,2014/11/19 18:13:01 HST
#0,,,,,,,,,,,,,,,,,,
#,,V 1.12,"KC, 2014nov19",,,,,,,,,,,,,,,
#,,changes:,,,,,,,,,,,,,,,,
#,,New values for Hamamatsu CCDs updated for B600 IFU, R831 ,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,
#,,V 1.11,"KC, 2014sep19",,,,,,,,,,,,,,,
#,,changes:,,,,,,,,,,,,,,,,
#,,New values for Hamamatsu CCDs updated for B600, R600 (excluding IFU),,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,
#,,V 1.10,"KC, 2014jul23",,,,,,,,,,,,,,,
#,,changes:,,,,,,,,,,,,,,,,
#,,New values for Hamamatsu CCDs updated for B1200, R400, R150,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,
#,,V 1.9,"GG, 2011jan24",,,,,,,,,,,,,,,
#,,changes:,,,,,,,,,,,,,,,,
#,,added order-blocking filters support for remaining gratings,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,
#,,V 1.8,"GG, 2011jan12",,,,,,,,,,,,,,,
#,,changes:,,,,,,,,,,,,,,,,
#,,added order-blocking filters support forn R831 ,,,,,,,,,,,,,,,,
#,,version renumbered for cosistency with OT,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,
#,,V 1.7,"GG, 2011nov28",,,,,,,,,,,,,,,
#,,changes:,,,,,,,,,,,,,,,,
#,,"all slits supported (Longslit, NS, MOS); Bug fixes",,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,
#,,V 1.5,"GG, 2011oct13",,,,,,,,,,,,,,,
#,,changes:,,,,,,,,,,,,,,,,
#,,Any filter ($.*) for IFU,,,,,,,,,,,,,,,,
#,,"Used regular expressions for Longslit and N and S, and IFU ",,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,
#,,V 1.44,,,,,,,,,,,,,,,,
#,,"GG, 2011Sep15",,,,,,,,,,,,,,,,
#,,changes:,,,,,,,,,,,,,,,,
#,,Filled Calibration Basecal column,,,,,,,,,,,,,,,,
#,,Used Longslit.* and N and S *  for FPU,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,
#,,V 1.3,,,,,,,,,,,,,,,,
#,,"GG, 2011Ago17",,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,
#,,Recommended GCAL configurations and Exp. Times for GMOS calibrations:,,,,,,,,,,,,,,,,
#,,Spectroscopic Arcs:  R150 R400 B600 R600 R831 B1200,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,
#,,Note the following:,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,
#,,"All CuAr Arcs are taken with GCALlamp=CuAr, GCALdiffuser=VISIBLE",,,,,,,,,,,,,,,,
#,,The choice of filter within GMOS is not considered except for IFU-2 configurations,,,,,,,,,,,,,,,,
#,,The Readout is Slow and the Gain is Low and the three best amps were used for GCALflats,,,,,,,,,,,,,,,,
#,,"For High gain, use 2x the exposure time from Low gain",,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,
#  Instrument Configuration from OT,,,,,,,,,,,GCAL configuration,,,,,,,
Disperser,Filter,Focal Plane Unit,Xbin,Ybin,Central Wavelength,Order ,Gain,,/=>/,,Calibration Observe,Calibration Filter,Calibration Diffuser,Calibration Lamps,Calibration Shutter,Calibration Exposure Time,Calibration Coadds,Calibration Basecal
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
R150_G5326,$.*one|.*G.*,$.*arcsec.*,1,1,350-1200,1,Low,,,,1,       GMOS balance,Visible,CuAr arc,Closed,80,1,Day
R150_G5326,$.*one|.*G.*,$.*arcsec.*,2,1,350-1200,1,Low,,,,1,       GMOS balance,Visible,CuAr arc,Closed,40,1,Day
R150_G5326,$.*one|.*G.*,$.*arcsec.*,1,2,350-1200,1,Low,,,,1,       GMOS balance,Visible,CuAr arc,Closed,40,1,Day
R150_G5326,$.*one|.*G.*,$.*arcsec.*,2,2,350-1200,1,Low,,,,1,       GMOS balance,Visible,CuAr arc,Closed,20,1,Day
R150_G5326,$.*one|.*G.*,$.*arcsec.*,4,1,350-1200,1,Low,,,,1,       GMOS balance,Visible,CuAr arc,Closed,20,1,Day
R150_G5326,$.*one|.*G.*,$.*arcsec.*,1,4,350-1200,1,Low,,,,1,       GMOS balance,Visible,CuAr arc,Closed,20,1,Day
R150_G5326,$.*one|.*G.*,$.*arcsec.*,4,2,350-1200,1,Low,,,,1,       GMOS balance,Visible,CuAr arc,Closed,10,1,Day
R150_G5326,$.*one|.*G.*,$.*arcsec.*,2,4,350-1200,1,Low,,,,1,       GMOS balance,Visible,CuAr arc,Closed,10,1,Day
R150_G5326,$.*one|.*G.*,$.*arcsec.*,4,4,350-1200,1,Low,,,,1,       GMOS balance,Visible,CuAr arc,Closed,5,1,Day
#,,,,,,,,,,,,,,,,,,Day
R150_G5326,$.*,IFU *,1,1,350-1200,1,Low,,,,1,         GMOS balance,Visible,CuAr arc,Closed,180,1,Day
R150_G5326,$.*,IFU *,2,1,350-1200,1,Low,,,,1,         GMOS balance,Visible,CuAr arc,Closed,180,1,Day
R150_G5326,$.*,IFU *,4,1,350-1200,1,Low,,,,1,         GMOS balance,Visible,CuAr arc,Closed,90,1,Day
#,,,,,,,,,,,,,,,,,,Day
# ,,,,,,,,,,,,,,,,,,Day
#,,,,,,,,,,,,,,,,,,Day
R400_G5325,$.*one|.*G.*,$.*arcsec.*,1,1,350-500,1,Low,,,,1,        None,Visible,CuAr arc,Closed,30,1,Day
R400_G5325,$.*one|.*G.*,$.*arcsec.*,2,1,350-500,1,Low,,,,1,       GMOS balance,Visible,CuAr arc,Closed,120,1,Day
R400_G5325,$.*one|.*G.*,$.*arcsec.*,1,2,350-500,1,Low,,,,1,       GMOS balance,Visible,CuAr arc,Closed,120,1,Day
R400_G5325,$.*one|.*G.*,$.*arcsec.*,2,2,350-500,1,Low,,,,1,       GMOS balance,Visible,CuAr arc,Closed,60,1,Day
R400_G5325,$.*one|.*G.*,$.*arcsec.*,4,1,350-500,1,Low,,,,1,       GMOS balance,Visible,CuAr arc,Closed,60,1,Day
R400_G5325,$.*one|.*G.*,$.*arcsec.*,1,4,350-500,1,Low,,,,1,       GMOS balance,Visible,CuAr arc,Closed,60,1,Day
R400_G5325,$.*one|.*G.*,$.*arcsec.*,4,2,350-500,1,Low,,,,1,       GMOS balance,Visible,CuAr arc,Closed,30,1,Day
R400_G5325,$.*one|.*G.*,$.*arcsec.*,2,4,350-500,1,Low,,,,1,       GMOS balance,Visible,CuAr arc,Closed,30,1,Day
R400_G5325,$.*one|.*G.*,$.*arcsec.*,4,4,350-500,1,Low,,,,1,       GMOS balance,Visible,CuAr arc,Closed,15,1,Day
#,,,,,,,,,,,,,,,,,,Day
R400_G5325,$.*,IFU *,1,1,350-510,1,Low,,,,1,         None,Visible,CuAr arc,Closed,120,1,Day
R400_G5325,$.*,IFU *,2,1,350-510,1,Low,,,,1,         None,Visible,CuAr arc,Closed,60,1,Day
