257,2013/07/12 16:46:59 HST
#,,V 257,"MLB, 2013jul12 added config for 13B-Q-91",,,,,,,,,,,
Mode,Pixel Scale,Disperser,Cross Dispersed,Central Wavelength,Focal Plane Unit,Well Depth,Calibration Lamps,Calibration Shutter,Calibration Filter,Calibration Diffuser,Calibration Observe,Calibration Exposure Time,Calibration Coadds,Calibration Basecal
,,,,,,,,,,,,,,
Spectroscopy,"0.05""/pix",111 l/mm grating,No,1.03 - 1.06,0.10 arcsec,Shallow,Ar arc+Xe arc,Closed,none,IR,2,20,1,Night
Spectroscopy,"0.05""/pix",111 l/mm grating,No,1.03 - 1.06,0.15 arcsec,Shallow,Ar arc+Xe arc,Closed,none,IR,2,16,1,Night
Spectroscopy,"0.05""/pix",111 l/mm grating,No,1.03 - 1.06,0.20 arcsec,Shallow,Ar arc+Xe arc,Closed,none,IR,2,14,1,Night
Spectroscopy,"0.05""/pix",111 l/mm grating,No,1.03 - 1.06,0.30 arcsec,Shallow,Ar arc+Xe arc,Closed,none,IR,2,14,1,Night
Spectroscopy,"0.05""/pix",111 l/mm grating,No,1.03 - 1.06,0.45 arcsec,Shallow,Ar arc+Xe arc,Closed,none,IR,2,11,1,Night
Spectroscopy,"0.05""/pix",111 l/mm grating,No,1.03 - 1.06,0.675 arcsec,Shallow,Ar arc+Xe arc,Closed,none,IR,2,11,1,Night
Spectroscopy,"0.05""/pix",111 l/mm grating,No,1.03 - 1.06,1.0 arcsec,Shallow,Ar arc+Xe arc,Closed,none,IR,2,10,1,Night
Spectroscopy,"0.05""/pix",111 l/mm grating,No,1.06 - 1.17,0.10 arcsec,Shallow,Ar arc+Xe arc,Closed,none,IR,2,30,1,Night
Spectroscopy,"0.05""/pix",111 l/mm grating,No,1.06 - 1.17,0.15 arcsec,Shallow,Ar arc+Xe arc,Closed,none,IR,2,26,1,Night
Spectroscopy,"0.05""/pix",111 l/mm grating,No,1.06 - 1.17,0.20 arcsec,Shallow,Ar arc+Xe arc,Closed,none,IR,2,23,1,Night
Spectroscopy,"0.05""/pix",111 l/mm grating,No,1.06 - 1.17,0.30 arcsec,Shallow,Ar arc+Xe arc,Closed,none,IR,2,20,1,Night
Spectroscopy,"0.05""/pix",111 l/mm grating,No,1.06 - 1.17,0.45 arcsec,Shallow,Ar arc+Xe arc,Closed,none,IR,2,18,1,Night
Spectroscopy,"0.05""/pix",111 l/mm grating,No,1.06 - 1.17,0.675 arcsec,Shallow,Ar arc+Xe arc,Closed,none,IR,2,17,1,Night
Spectroscopy,"0.05""/pix",111 l/mm grating,No,1.06 - 1.17,1.0 arcsec,Shallow,Ar arc+Xe arc,Closed,none,IR,2,15,1,Night
Spectroscopy,"0.05""/pix",111 l/mm grating,No,1.21 - 1.25,0.10 arcsec,Shallow,Ar arc,Closed,none,IR,2,24,1,Night
Spectroscopy,"0.05""/pix",111 l/mm grating,No,1.21 - 1.25,0.15 arcsec,Shallow,Ar arc,Closed,none,IR,2,20,1,Night
Spectroscopy,"0.05""/pix",111 l/mm grating,No,1.21 - 1.25,0.20 arcsec,Shallow,Ar arc,Closed,none,IR,2,16,1,Night
Spectroscopy,"0.05""/pix",111 l/mm grating,No,1.21 - 1.25,0.30 arcsec,Shallow,Ar arc,Closed,none,IR,2,12,1,Night
Spectroscopy,"0.05""/pix",111 l/mm grating,No,1.21 - 1.25,0.45 arcsec,Shallow,Ar arc,Closed,none,IR,2,9,1,Night
Spectroscopy,"0.05""/pix",111 l/mm grating,No,1.21 - 1.25,0.675 arcsec,Shallow,Ar arc,Closed,none,IR,2,8,1,Night
Spectroscopy,"0.05""/pix",111 l/mm grating,No,1.21 - 1.25,1.0 arcsec,Shallow,Ar arc,Closed,none,IR,2,6,1,Night
Spectroscopy,"0.05""/pix",111 l/mm grating,No,1.25 - 1.28,0.10 arcsec,Shallow,Ar arc,Closed,none,IR,2,24,1,Night
Spectroscopy,"0.05""/pix",111 l/mm grating,No,1.25 - 1.28,0.15 arcsec,Shallow,Ar arc,Closed,none,IR,2,24,1,Night
Spectroscopy,"0.05""/pix",111 l/mm grating,No,1.25 - 1.28,0.20 arcsec,Shallow,Ar arc,Closed,none,IR,2,12,1,Night
Spectroscopy,"0.05""/pix",111 l/mm grating,No,1.25 - 1.28,0.30 arcsec,Shallow,Ar arc,Closed,none,IR,2,12,1,Night
Spectroscopy,"0.05""/pix",111 l/mm grating,No,1.25 - 1.28,0.45 arcsec,Shallow,Ar arc,Closed,none,IR,2,9,1,Night
Spectroscopy,"0.05""/pix",111 l/mm grating,No,1.25 - 1.28,0.675 arcsec,Shallow,Ar arc,Closed,none,IR,2,8,1,Night
Spectroscopy,"0.05""/pix",111 l/mm grating,No,1.25 - 1.28,1.0 arcsec,Shallow,Ar arc,Closed,none,IR,2,6,1,Night
Spectroscopy,"0.05""/pix",111 l/mm grating,No,1.28 - 1.32,0.10 arcsec,Shallow,Ar arc,Closed,none,IR,2,8,1,Night
Spectroscopy,"0.05""/pix",111 l/mm grating,No,1.28 - 1.32,0.15 arcsec,Shallow,Ar arc,Closed,none,IR,2,7,1,Night
Spectroscopy,"0.05""/pix",111 l/mm grating,No,1.28 - 1.32,0.20 arcsec,Shallow,Ar arc,Closed,none,IR,2,6,1,Night
Spectroscopy,"0.05""/pix",111 l/mm grating,No,1.28 - 1.32,0.30 arcsec,Shallow,Ar arc,Closed,none,IR,2,5.5,1,Night
Spectroscopy,"0.05""/pix",111 l/mm grating,No,1.28 - 1.32,0.45 arcsec,Shallow,Ar arc,Closed,none,IR,2,5,1,Night
Spectroscopy,"0.05""/pix",111 l/mm grating,No,1.28 - 1.32,0.675 arcsec,Shallow,Ar arc,Closed,none,IR,2,4.5,1,Night
Spectroscopy,"0.05""/pix",111 l/mm grating,No,1.28 - 1.32,1.0 arcsec,Shallow,Ar arc,Closed,none,IR,2,4,1,Night
Spectroscopy,"0.05""/pix",111 l/mm grating,No,1.32 - 1.36,0.10 arcsec,Shallow,Ar arc,Closed,none,IR,2,6,1,Night
Spectroscopy,"0.05""/pix",111 l/mm grating,No,1.32 - 1.36,0.15 arcsec,Shallow,Ar arc,Closed,none,IR,2,4,1,Night
Spectroscopy,"0.05""/pix",111 l/mm grating,No,1.32 - 1.36,0.20 arcsec,Shallow,Ar arc,Closed,none,IR,2,3,1,Night
Spectroscopy,"0.05""/pix",111 l/mm grating,No,1.32 - 1.36,0.30 arcsec,Shallow,Ar arc,Closed,none,IR,2,2,1,Night
Spectroscopy,"0.05""/pix",111 l/mm grating,No,1.32 - 1.36,0.45 arcsec,Shallow,Ar arc,Closed,none,IR,2,3.5,1,Night
Spectroscopy,"0.05""/pix",111 l/mm grating,No,1.32 - 1.36,0.675 arcsec,Shallow,Ar arc,Closed,none,IR,2,3.3,1,Night
Spectroscopy,"0.05""/pix",111 l/mm grating,No,1.32 - 1.36,1.0 arcsec,Shallow,Ar arc,Closed,none,IR,2,3,1,Night
Spectroscopy,"0.05""/pix",111 l/mm grating,No,1.49 - 1.54,0.10 arcsec,Shallow,Ar arc+Xe arc,Closed,none,IR,2,60,1,Night
Spectroscopy,"0.05""/pix",111 l/mm grating,No,1.49 - 1.54,0.15 arcsec,Shallow,Ar arc+Xe arc,Closed,none,IR,2,53,1,Night
Spectroscopy,"0.05""/pix",111 l/mm grating,No,1.49 - 1.54,0.20 arcsec,Shallow,Ar arc+Xe arc,Closed,none,IR,2,45,1,Night
Spectroscopy,"0.05""/pix",111 l/mm grating,No,1.49 - 1.54,0.30 arcsec,Shallow,Ar arc+Xe arc,Closed,none,IR,2,38,1,Night
Spectroscopy,"0.05""/pix",111 l/mm grating,No,1.49 - 1.54,0.45 arcsec,Shallow,Ar arc+Xe arc,Closed,none,IR,2,30,1,Night
Spectroscopy,"0.05""/pix",111 l/mm grating,No,1.49 - 1.54,0.675 arcsec,Shallow,Ar arc+Xe arc,Closed,none,IR,2,30,1,Night
Spectroscopy,"0.05""/pix",111 l/mm grating,No,1.49 - 1.54,1.0 arcsec,Shallow,Ar arc+Xe arc,Closed,none,IR,2,30,1,Night
Spectroscopy,"0.05""/pix",111 l/mm grating,No,1.54 - 1.63,0.10 arcsec,Shallow,Ar arc+Xe arc,Closed,none,IR,2,100,1,Night
Spectroscopy,"0.05""/pix",111 l/mm grating,No,1.54 - 1.63,0.15 arcsec,Shallow,Ar arc+Xe arc,Closed,none,IR,2,90,1,Night
Spectroscopy,"0.05""/pix",111 l/mm grating,No,1.54 - 1.63,0.20 arcsec,Shallow,Ar arc+Xe arc,Closed,none,IR,2,75,1,Night
Spectroscopy,"0.05""/pix",111 l/mm grating,No,1.54 - 1.63,0.30 arcsec,Shallow,Ar arc+Xe arc,Closed,none,IR,2,60,1,Night
Spectroscopy,"0.05""/pix",111 l/mm grating,No,1.54 - 1.63,0.45 arcsec,Shallow,Ar arc+Xe arc,Closed,none,IR,2,45,1,Night
Spectroscopy,"0.05""/pix",111 l/mm grating,No,1.54 - 1.63,0.675 arcsec,Shallow,Ar arc+Xe arc,Closed,none,IR,2,45,1,Night
Spectroscopy,"0.05""/pix",111 l/mm grating,No,1.54 - 1.63,1.0 arcsec,Shallow,Ar arc+Xe arc,Closed,none,IR,2,45,1,Night
Spectroscopy,"0.05""/pix",111 l/mm grating,No,1.63 - 1.68,0.10 arcsec,Shallow,Ar arc+Xe arc,Closed,none,IR,2,100,1,Night
Spectroscopy,"0.05""/pix",111 l/mm grating,No,1.63 - 1.68,0.15 arcsec,Shallow,Ar arc+Xe arc,Closed,none,IR,2,75,1,Night
Spectroscopy,"0.05""/pix",111 l/mm grating,No,1.63 - 1.68,0.20 arcsec,Shallow,Ar arc+Xe arc,Closed,none,IR,2,60,1,Night
Spectroscopy,"0.05""/pix",111 l/mm grating,No,1.63 - 1.68,0.30 arcsec,Shallow,Ar arc+Xe arc,Closed,none,IR,2,45,1,Night
Spectroscopy,"0.05""/pix",111 l/mm grating,No,1.63 - 1.68,0.45 arcsec,Shallow,Ar arc+Xe arc,Closed,none,IR,2,30,1,Night
Spectroscopy,"0.05""/pix",111 l/mm grating,No,1.63 - 1.68,0.675 arcsec,Shallow,Ar arc+Xe arc,Closed,none,IR,2,30,1,Night
Spectroscopy,"0.05""/pix",111 l/mm grating,No,1.63 - 1.68,1.0 arcsec,Shallow,Ar arc+Xe arc,Closed,none,IR,2,30,1,Night
Spectroscopy,"0.05""/pix",111 l/mm grating,No,1.68 - 1.73,0.10 arcsec,Shallow,Ar arc+Xe arc,Closed,none,IR,2,12,1,Night
Spectroscopy,"0.05""/pix",111 l/mm grating,No,1.68 - 1.73,0.15 arcsec,Shallow,Ar arc+Xe arc,Closed,none,IR,2,10,1,Night
Spectroscopy,"0.05""/pix",111 l/mm grating,No,1.68 - 1.73,0.20 arcsec,Shallow,Ar arc+Xe arc,Closed,none,IR,2,8.5,1,Night
Spectroscopy,"0.05""/pix",111 l/mm grating,No,1.68 - 1.73,0.30 arcsec,Shallow,Ar arc+Xe arc,Closed,none,IR,2,7.5,1,Night
Spectroscopy,"0.05""/pix",111 l/mm grating,No,1.68 - 1.73,0.45 arcsec,Shallow,Ar arc+Xe arc,Closed,none,IR,2,6,1,Night
Spectroscopy,"0.05""/pix",111 l/mm grating,No,1.68 - 1.73,0.675 arcsec,Shallow,Ar arc+Xe arc,Closed,none,IR,2,6,1,Night
Spectroscopy,"0.05""/pix",111 l/mm grating,No,1.68 - 1.73,1.0 arcsec,Shallow,Ar arc+Xe arc,Closed,none,IR,2,6,1,Night
Spectroscopy,"0.05""/pix",111 l/mm grating,No,1.73 - 1.78,0.10 arcsec,Shallow,Ar arc+Xe arc,Closed,none,IR,2,100,1,Night
Spectroscopy,"0.05""/pix",111 l/mm grating,No,1.73 - 1.78,0.15 arcsec,Shallow,Ar arc+Xe arc,Closed,none,IR,2,90,1,Night
Spectroscopy,"0.05""/pix",111 l/mm grating,No,1.73 - 1.78,0.20 arcsec,Shallow,Ar arc+Xe arc,Closed,none,IR,2,75,1,Night
Spectroscopy,"0.05""/pix",111 l/mm grating,No,1.73 - 1.78,0.30 arcsec,Shallow,Ar arc+Xe arc,Closed,none,IR,2,60,1,Night
Spectroscopy,"0.05""/pix",111 l/mm grating,No,1.73 - 1.78,0.45 arcsec,Shallow,Ar arc+Xe arc,Closed,none,IR,2,45,1,Night
Spectroscopy,"0.05""/pix",111 l/mm grating,No,1.73 - 1.78,0.675 arcsec,Shallow,Ar arc+Xe arc,Closed,none,IR,2,45,1,Night
Spectroscopy,"0.05""/pix",111 l/mm grating,No,1.73 - 1.78,1.0 arcsec,Shallow,Ar arc+Xe arc,Closed,none,IR,2,45,1,Night
Spectroscopy,"0.05""/pix",111 l/mm grating,No,1.97 - 2.04,0.10 arcsec,Shallow,Ar arc+Xe arc,Closed,none,IR,2,100,1,Night
Spectroscopy,"0.05""/pix",111 l/mm grating,No,1.97 - 2.04,0.15 arcsec,Shallow,Ar arc+Xe arc,Closed,none,IR,2,85,1,Night
Spectroscopy,"0.05""/pix",111 l/mm grating,No,1.97 - 2.04,0.20 arcsec,Shallow,Ar arc+Xe arc,Closed,none,IR,2,70,1,Night
Spectroscopy,"0.05""/pix",111 l/mm grating,No,1.97 - 2.04,0.30 arcsec,Shallow,Ar arc+Xe arc,Closed,none,IR,2,55,1,Night
Spectroscopy,"0.05""/pix",111 l/mm grating,No,1.97 - 2.04,0.45 arcsec,Shallow,Ar arc+Xe arc,Closed,none,IR,2,40,1,Night
Spectroscopy,"0.05""/pix",111 l/mm grating,No,1.97 - 2.04,0.675 arcsec,Shallow,Ar arc+Xe arc,Closed,none,IR,2,40,1,Night
Spectroscopy,"0.05""/pix",111 l/mm grating,No,1.97 - 2.04,1.0 arcsec,Shallow,Ar arc+Xe arc,Closed,none,IR,2,40,1,Night
Spectroscopy,"0.05""/pix",111 l/mm grating,No,2.04 - 2.10,0.10 arcsec,Shallow,Ar arc+Xe arc,Closed,none,IR,2,60,1,Night
Spectroscopy,"0.05""/pix",111 l/mm grating,No,2.04 - 2.10,0.15 arcsec,Shallow,Ar arc+Xe arc,Closed,none,IR,2,60,1,Night
Spectroscopy,"0.05""/pix",111 l/mm grating,No,2.04 - 2.10,0.20 arcsec,Shallow,Ar arc+Xe arc,Closed,none,IR,2,55,1,Night
Spectroscopy,"0.05""/pix",111 l/mm grating,No,2.04 - 2.10,0.30 arcsec,Shallow,Ar arc+Xe arc,Closed,none,IR,2,50,1,Night
Spectroscopy,"0.05""/pix",111 l/mm grating,No,2.04 - 2.10,0.45 arcsec,Shallow,Ar arc+Xe arc,Closed,none,IR,2,40,1,Night
Spectroscopy,"0.05""/pix",111 l/mm grating,No,2.04 - 2.10,0.675 arcsec,Shallow,Ar arc+Xe arc,Closed,none,IR,2,40,1,Night
Spectroscopy,"0.05""/pix",111 l/mm grating,No,2.04 - 2.10,1.0 arcsec,Shallow,Ar arc+Xe arc,Closed,none,IR,2,40,1,Night
Spectroscopy,"0.05""/pix",111 l/mm grating,No,2.10 - 2.16,0.10 arcsec,Shallow,Ar arc+Xe arc,Closed,none,IR,2,60,1,Night
Spectroscopy,"0.05""/pix",111 l/mm grating,No,2.10 - 2.16,0.15 arcsec,Shallow,Ar arc+Xe arc,Closed,none,IR,2,55,1,Night
Spectroscopy,"0.05""/pix",111 l/mm grating,No,2.10 - 2.16,0.20 arcsec,Shallow,Ar arc+Xe arc,Closed,none,IR,2,50,1,Night
Spectroscopy,"0.05""/pix",111 l/mm grating,No,2.10 - 2.16,0.30 arcsec,Shallow,Ar arc+Xe arc,Closed,none,IR,2,45,1,Night
