321,2014/08/06 10:23:38 HST
#,,V 256,"MLB, 2013Jul12",,Changes:,added config for 13AQ28-110 AND 13B-Q-91
# "REM, 2014Jul17",,Changes:,"edited IR Texp for SB+SXD+32, 0.45"" slit from 8 sec to 7 sec"
# 2014 Aug 6, astephens, modified 0.15"/pix 32 l/mm 1.47-1.80 1.0" slit exposure time from 0.24s to 0.38s
#
Mode,Pixel Scale,Disperser,Cross Dispersed,Central Wavelength,Focal Plane Unit,Well Depth,Calibration Lamps,Calibration Shutter,Calibration Filter,Calibration Diffuser,Calibration Observe,Calibration Exposure Time,Calibration Coadds,Calibration Basecal
Imaging,"0.05""/pix",*,*,1.03 - 1.17,*,Shallow,IR grey body - high,Open,none,IR,10,2.5,1,Night
Imaging,"0.05""/pix",*,*,1.03 - 1.17,*,Shallow,IR grey body - high,Closed,none,IR,10,2.5,1,Night
Imaging,"0.05""/pix",*,*,1.17 - 1.37,*,Shallow,IR grey body - high,Open,ND1.0,IR,10,2.5,1,Night
Imaging,"0.05""/pix",*,*,1.17 - 1.37,*,Shallow,IR grey body - high,Closed,ND1.0,IR,10,2.5,1,Night
Imaging,"0.05""/pix",*,*,1.47 - 1.80,*,Shallow,IR grey body - high,Open,ND2.0,IR,10,1.5,1,Night
Imaging,"0.05""/pix",*,*,1.47 - 1.80,*,Shallow,IR grey body - high,Closed,ND2.0,IR,10,1.5,1,Night
Imaging,"0.05""/pix",*,*,1.91 - 2.49,*,Shallow,IR grey body - high,Open,ND4-5,IR,8,8,1,Night
Imaging,"0.05""/pix",*,*,1.91 - 2.49,*,Shallow,IR grey body - high,Closed,ND4-5,IR,8,8,1,Night
Imaging,"0.15""/pix",*,*,1.03 - 1.17,*,Shallow,IR grey body - high,Open,ND1.0,IR,8,2.5,1,Night
Imaging,"0.15""/pix",*,*,1.03 - 1.17,*,Shallow,IR grey body - high,Closed,ND1.0,IR,8,2.5,1,Night
Imaging,"0.15""/pix",*,*,1.17 - 1.37,*,Shallow,IR grey body - high,Open,ND4.0,IR,8,1.5,1,Night
Imaging,"0.15""/pix",*,*,1.17 - 1.37,*,Shallow,IR grey body - high,Closed,ND4.0,IR,8,1.5,1,Night
Imaging,"0.15""/pix",*,*,1.47 - 1.80,*,Shallow,IR grey body - high,Open,ND4-5,IR,6,12,1,Night
Imaging,"0.15""/pix",*,*,1.47 - 1.80,*,Shallow,IR grey body - high,Closed,ND4-5,IR,6,12,1,Night
Imaging,"0.15""/pix",*,*,1.91 - 2.49,*,Shallow,IR grey body - high,Open,ND4-5,IR,10,1,1,Night
Imaging,"0.15""/pix",*,*,1.91 - 2.49,*,Shallow,IR grey body - high,Closed,ND4-5,IR,10,1,1,Night
